market,name,price,ma15,ma50,ma120,slope15,gap50,gap120,conv50,conv120,f50up,f50down,f120up,f120down,golden_now,dead_now,up120_now,down120_now,value_accel_pct,ret5_pct,launch_score,launch_grade,delta_price_pct,delta_value_accel_pct,delta_launch_score,delta_slope15,delta_gap120,flag_score14,flag_value300,flag_ankr_like,flag_early_ignition,snapshot_kst,snapshot_epoch,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_price_pct_15m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate
KRW-WAXP,왁스,5.9,5.836666666666667,5.5942,6.807166666666666,0.8640552995391904,-4.334250950389101,14.257033028915597,-0.9629193953798968,-1.202170340697252,,,11.859411720843653,,False,False,False,False,43.07913901702391,-1.005025125628134,12.0,A급,0.339558573853993,0.1569861060283202,0.0,0.023041474654372784,-0.017488297170293876,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,7244238.611679348,9883926.63899278,0.7329312404141408,61,0.0,complete,1788415823466,1788416575633,20735833.11729013,12331538.27504446,0.2541567257503234,5.93,6.5,9.612141652613836,-0.5059021922428242,9.230769230769226,105.26315789473675,-1.1284013299280868,74.99967802176815,344.42450060835944,0.1569861060283202,0.1697792869270076,,,,,,,,,,,,,,,,-1.1284013299280868,3104666.074421171,7659943.347013386,0.1697792869270076,rising,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-CARV,카브,48.1,46.24666666666667,43.653999999999996,57.230000000000004,0.7260055176419478,-5.939127380461524,19.191566194886132,-1.087707506090248,-1.2105648672790654,,,,,False,False,False,False,287.39300998593023,2.3404255319148914,10.0,A급,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,0.0,0.0,,0,0.0,complete,,,1800582.19964205,1757144.89716465,0.012209284550349002,48.8,48.8,0.0,-1.43442622950819,1.434426229508188,,,-100.0,,0.0,0.0,,,,,,,,,,,,,,,,,-450023.60000000003,0.0,0.0,falling,flat_or_na,unavailable,flat_or_na,neutral,False,False,False,pass
KRW-LSK,리스크,138.0,132.6,118.48,138.31666666666666,1.3245033112582627,-11.917623227548944,4.13302807567177,-1.3353585711855451,-1.5861560496376277,,,2.6056881834646717,,False,False,False,False,-91.72854976975255,-2.1126760563380254,13.0,A급,0.7246376811594235,0.015969081285717834,0.0,0.05094243504839557,-0.042425319520136284,False,False,False,True,2026-09-03T15:24:42.648780+09:00,1788416682,17102.99999894,4432129.3364723995,0.0038588675330834413,9,0.0,complete,1788415838801,1788416640926,1260267.1772075,3680653.24655876,-0.4898654221810557,134.0,140.0,4.477611940298498,2.9850746268656803,1.4285714285714286,33.333333333333,-23.66837986105148,-99.80296000963352,1108.74263007055,0.015969081285717834,0.0,,,,,,,,,,,,,,,,-23.66837986105148,-8662860.8830333,4065456.6283034394,0.0,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-0G,제로지,258.0,238.8,232.38,394.40833333333336,1.358234295415972,-2.762716240640337,39.45361195038983,-1.8427721148748426,-1.7079643228540626,,,,,False,False,False,False,2585.851004237181,15.76576576576576,10.0,A급,0.390625,0.4876487410324444,0.0,0.05659309564234327,-0.031248699978888794,False,True,False,True,2026-09-03T15:24:42.648780+09:00,1788416682,17271959.025497127,2959253.9044608003,5.836592459829572,37,0.0,complete,1788415825487,1788416502959,1421817.22866115,1750908.10282502,-0.1037249808226283,255.0,259.0,1.5686274509803866,1.17647058823529,0.3861003861003861,25.0,5.34914685472555,97.9743666402866,-83.46608306023855,0.4876487410324444,0.78125,,,,,,,,,,,,,,,,5.34914685472555,8547617.930935249,-14938827.446996002,0.78125,rising,falling,buy_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-BORA,보라,31.0,30.1,30.13,37.64,0.9841198836949117,0.09956853634250774,20.031880977683315,-1.2090814180373157,-1.086101296320671,0.08235056370656652,,,,False,False,False,False,-35.98852680583722,3.3333333333333437,6.0,관찰,0.0,0.04122478085522374,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,316387.934189804,308526.4719235441,1.0254806733997466,10,0.0,complete,1788416511577,1788416656255,4920170.14169577,5994374.14824697,-0.09841950135664665,30.5,32.0,4.918032786885251,1.6393442622950838,3.125,66.66666666666666,0.957316355323546,-30.932185077085883,-95.40902073792819,0.04122478085522374,0.0,,,,,,,,,,,,,,,,0.957316355323546,-141695.08833367,-6411749.406306251,0.0,falling,falling,buy_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-PUNDIX,펀디엑스,127.0,123.46666666666667,114.82,146.0,1.1469142545057487,-7.530627649073921,15.433789954337898,-1.1407805402005522,-1.3601043796711831,,,11.347504048232791,,False,False,False,False,-83.59225902098004,0.0,11.0,A급,0.0,0.13454543449256562,0.0,0.0,0.0,False,False,False,True,2026-09-03T15:24:42.648780+09:00,1788416682,14528799.380195549,28250.50159872,514.2846518822106,18,0.0,complete,1788415829007,1788416610352,1598866.87722511,2164283.32182924,-0.15025083100488906,122.0,128.0,4.918032786885251,4.098360655737698,0.78125,16.66666666666689,513.2086897735613,106.20295376370788,-99.5685918991957,0.13454543449256562,0.0,,,,,,,,,,,,,,,,513.2086897735613,7482925.8294003485,-6520189.7214873,0.0,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,False,False,False,pass
KRW-USD1,월드리버티파이낸셜유에스디,1376.0,1381.8,1418.62,1464.0,0.0,2.5954801144774455,5.614754098360659,-0.02042898086693552,0.05668296476721855,,,,,False,False,False,False,-66.61091001334752,-1.1494252873563204,5.0,관찰,0.0,0.02026054815542011,0.0,0.0,0.0,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,0.0,0.0,,0,0.0,complete,,,31158.45773098,32967.61408404,-0.02821249301343053,1379.0,1379.0,0.0,-0.217548948513413,0.21754894851341552,,,-100.0,,0.02026054815542011,0.0,,,,,,,,,,,,,,,,,-74774.03494016,0.0,0.0,falling,flat_or_na,unavailable,accelerating,neutral,False,False,False,pass
KRW-BAT,베이직어텐션토큰,93.6,94.9,97.25,122.7625,0.4941757853865081,2.416452442159377,22.696263109662965,-1.223439426051529,-0.878171030512253,1.97513043204609,,,,False,False,False,False,-36.491399791129666,-1.1627906976744096,6.0,관찰,0.10706638115631772,0.018689659672553205,0.0,0.0070596540769241045,-0.004905822006794125,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,9360.0,0.0,,2,0.0,complete,1788416465464,1788416465464,803349.28082826,165759.76898855,0.6579130717644552,93.1,93.6,0.5370569280343629,0.5370569280343629,0.0,0.0,,-99.87773889553301,-100.0,0.018689659672553205,0.21413276231261325,,,,,,,,,,,,,,,,,-7646386.315073973,-2610253.6849260274,0.21413276231261325,falling,falling,buy_only,accelerating,neutral,False,False,False,pass
KRW-HUNT,헌트,125.0,118.86666666666666,115.12,126.08333333333333,0.962627406568517,-3.2545749362983454,5.7237276933245225,-0.7865241911457468,-0.8961267115453202,,,6.3871856731669965,,False,False,False,False,57.109290517911425,5.042016806722693,13.0,A급,0.0,0.12566906474757644,0.0,0.05662514156286047,-0.046647083593983396,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,5529.0,5349658.57569178,0.0010335239009687696,5,0.0,complete,1788416442169,1788416543601,2573030.94930637,3637542.39475163,-0.1714030873596778,123.0,128.0,4.065040650406515,1.6260162601626105,2.34375,59.999999999999886,-0.23634741442595147,-99.50003978703087,14.831427090841975,0.12566906474757644,0.0,,,,,,,,,,,,,,,,-0.23634741442595147,-1100359.0,690952.5827237405,0.0,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-PENGU,펏지펭귄,11.4,12.318666666666667,9.8546,10.559750000000001,1.3826401843520353,-25.00422814387867,-16.656802165455296,-1.417784036648158,-2.2927204661323897,,,,,False,False,False,False,-47.946640032540685,-10.236220472440937,8.0,B급,-0.8695652173912993,0.00213960910021882,0.0,-0.054866673982223446,0.05392246307689419,False,False,False,False,2026-09-03T15:24:42.648780+09:00,1788416682,39999.99999994,3525390.0766455596,0.011346262152641095,6,0.0,complete,1788416031071,1788416600175,70053530.34392948,80520401.55997477,-0.06951316926973262,11.5,11.6,0.8695652173912993,-0.8695652173912993,1.7241379310344769,200.0,-1.6441942190362497,-99.93432848541353,-90.41782664667572,0.00213960910021882,-0.8695652173912993,,,,,,,,,,,,,,,,-1.6441942190362497,-60869208.88885336,-33265742.23388101,-0.8695652173912993,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
