market,snapshot_kst,snapshot_epoch,price,value_accel_pct,launch_score,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_value_accel_pct,delta_price_pct_15m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate
KRW-0G,2026-09-03T16:04:14.534971+09:00,1788419054,256.0,2586.2210708087223,10.0,11210527.14044145,7944009.069428869,1.4111926412047042,33,0.0,complete,1788418317373,1788419051954,1357724.51617654,1407656.23955304,-0.018056003056015575,255.0,259.0,1.5686274509803866,0.39215686274509665,1.1583011583011582,75.0,1.3494311564793673,1933.04943095103,-11.02267138500257,0.06564655949341613,0.0,-4.425399818624868,-35.09406128226509,168.44634917787937,0.37006657154142886,-0.7751937984496138,0.9237470361006819,28.49712108836826,-55.61530359910745,0.8577153125738732,0.0,,,,,,1.3494311564793673,10659112.74934141,-984118.1210405007,0.06564655949341613,0.0,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,False,False,False,pass
KRW-1INCH,2026-09-03T16:04:14.534971+09:00,1788419054,121.0,57.14881953767117,8.0,19999.99999899,0.0,,1,0.0,complete,1788418876991,1788418876991,1424275.13006887,1015041.66024869,0.16776561020879305,120.0,121.0,0.8333333333333304,0.8333333333333304,0.0,0.0,,,,0.007534045051855287,0.0,,270.7615342291866,-100.0,0.055327225598823304,0.0,,270.7615342291866,-100.0,0.059393463796936885,0.8333333333333304,,,,,,,19999.99999899,0.0,0.007534045051855287,0.0,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass
KRW-2Z,2026-09-03T16:04:14.534971+09:00,1788419054,74.3,17.88034878797049,5.0,1225241.218816653,2570264.54004918,0.4766984875390332,13,0.0,complete,1788418212979,1788419062445,651165.68296405,1574293.33229241,-0.4148032576650169,73.9,75.1,1.6238159675236563,0.5412719891745521,1.0652463382157087,66.66666666666666,-0.7069649444099118,49.989334437230546,272.43015238468377,0.37170375991160043,-0.13440860215054862,,,,0.44366228162624566,-0.13440860215054862,-0.09776553406194222,616.7939046064982,763.8003263343646,0.4736587825216816,-0.13440860215054862,,,,,,-0.7069649444099118,408355.65597724484,1880131.2295232508,0.37170375991160043,-0.13440860215054862,rising,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-A,2026-09-03T16:04:14.534971+09:00,1788419054,107.0,-43.57022662799556,12.0,880461.61297459,0.0,,5,0.0,complete,1788418398736,1788419117054,1140081.75039036,3316953.82652072,-0.48841254205088214,105.0,108.0,2.857142857142847,1.904761904761898,0.9259259259259258,33.33333333333333,,8748.860432439029,,0.009141264281787187,0.0,,,-100.0,0.01874061442072872,0.9433962264151052,,86.56625055598761,-100.0,0.06641989956521144,0.0,,,,,,,870511.61297519,0.0,0.009141264281787187,0.0,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass
KRW-AAVE,2026-09-03T16:04:14.534971+09:00,1788419054,175200.0,-17.79011591323707,7.0,22565151.897153996,10937724.694604,2.063057219595795,47,0.0,complete,1788418159921,1788419095109,544.43920098,536.12070376,0.00769832119765873,174900.0,176200.0,0.7432818753573489,0.17152658662091813,0.5675368898978433,76.92307692307807,-5.222402879341827,595.705672204257,2356.8082103131123,0.06668959913115202,-0.057045065601823985,-8.608588474979557,111.21043735252378,992.5353562728841,0.09136545017571862,-0.11402508551880963,1.4629478855799039,234.50174390909288,-2.6989572282587915,0.2088345844581383,0.17152658662091813,,,,,,-5.222402879341827,19321660.748711996,10492524.102686,0.06668959913115202,-0.057045065601823985,rising,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-ADA,2026-09-03T16:04:14.534971+09:00,1788419054,282.0,-37.46664505410515,8.0,44399300.50249931,46351363.89860088,0.9578855241375004,130,0.0,complete,1788418173021,1788419233319,6850464.21356916,4882811.80887682,0.16769846724207146,277.0,286.0,3.2490974729241895,1.8050541516245522,1.3986013986013985,44.44444444444437,0.3369854033163323,121.86593260206257,43.81320198231477,0.08266445662565047,0.0,0.17981804756755748,296.496074642172,222.06426811231208,0.20627668216349804,0.0,0.17667627721329682,130.53670315309685,88.01558194626942,0.2571140623798698,0.0,,,,,,0.3369854033163323,24387530.339419056,14121107.385502122,0.08266445662565047,0.0,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass
KRW-AERO,2026-09-03T16:04:14.534971+09:00,1788419054,665.0,-5.783774138682762,8.0,22238.21460056,5203676.72109182,0.004273558061441996,5,0.0,complete,1788418368347,1788419053588,90348.97174049,85724.83194715,0.026262508655423594,638.0,674.0,5.642633228840133,4.2319749216300995,1.3353115727002967,25.0,,-97.11611987092456,,0.2506840423195271,-0.15015015015015232,0.004273558061441996,,39728.2401847969,0.43635446849806847,0.45317220543805714,-0.3989112316039385,-99.7691828468168,-78.22377419018184,1.3760801081827534,0.0,,,,,,,-748883.10824338,5203676.72109182,0.2506840423195271,-0.15015015015015232,falling,rising,sell_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-AGLD,2026-09-03T16:04:14.534971+09:00,1788419054,221.0,-29.856026891988495,7.0,300643.9546182599,0.0,,5,0.0,complete,1788419058779,1788419058871,605503.26764256,696950.93981789,-0.07021181370640002,221.0,223.0,0.9049773755656076,0.0,0.8968609865470852,100.0,,,,0.0,0.0,,,,0.0,0.0,,,-100.0,0.0,0.0,,,,,,,300643.9546182599,0.0,0.0,0.0,rising,flat_or_na,buy_only,flat_or_na,neutral,False,False,False,pass
KRW-AHT,2026-09-03T16:04:14.534971+09:00,1788419054,1.33,1204.8677485716703,8.0,8163143.041429267,10275197.869779704,0.794451176987824,26,0.0,complete,1788418378158,1788419019348,200918866.59207502,170826831.3555949,0.0809479044481535,1.35,1.4,3.703703703703698,-1.4814814814814836,4.999999999999989,140.0000000000001,,6037.7015349092235,,1.3757714976893567,0.0,0.6768335814528079,1446.00718363361,128.88460976077582,1.4899414959468231,0.0,,2031.3689403209582,,2.062870804830254,0.0,,,,,,,8030143.041429267,10275197.869779704,1.3757714976893567,0.0,rising,rising,sell_advantage_weakening,accelerating,neutral,False,False,False,pass
KRW-AI,2026-09-03T16:04:14.534971+09:00,1788419054,26.5,,,0.0,10011.868908922,0.0,2,0.0,complete,1788418523485,1788418528822,8822639.94936261,4374458.57121005,0.3370575260325889,26.2,26.7,1.9083969465648831,1.1450381679389388,0.7490636704119823,39.99999999999954,,,,,-0.3759398496240629,0.0,,-95.43344188890865,,-0.3759398496240629,-0.44514870564200537,-100.0,-99.13585795603694,,-0.7490636704119868,,,,,,,0.0,10011.868908922,,-0.3759398496240629,flat_or_na,rising,sell_only,flat_or_na,neutral,False,False,False,pass
