market,days,price,ma15,ma50,ma120,rsi,adx,macd,signal,hist,hist_prev,mac_up,mac_cross,higher_low,support,resistance,near_support,near_resistance,volume_accel,value_accel,d1,d5,d20,candle,excluded,score,snapshot_kst,snapshot_epoch,value_accel_pct,launch_score,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_value_accel_pct,delta_price_pct_15m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate
KRW-IQ,200,0.971,0.9560666666666666,0.9631799999999999,1.188575,52.59345423777475,43.82088762732333,0.008768202089926347,-0.002316774863791728,0.011084976953718075,0.013380266675312351,False,False,True,0.93,0.979,0.044086021505376216,0.008238928939237944,13.51580793300056,14.991490155515452,-0.021169354838709742,0.0452099031216362,0.11866359447004604,-0.021169354838709742,False,12,2026-09-03T15:24:42.648780+09:00,1788416682,3298.0151441061425,8.0,299486.23046956374,2489750.4556434173,0.12028764962798996,6,0.0,complete,1788415851955,1788415917628,60307971.86324351,41053225.98216337,0.18996170418631905,0.992,0.992,0.0,-2.116935483870974,2.1169354838709697,,-10.568023518821875,-90.0121650115762,787.4817039451399,0.4007013561158601,0.4136504653567741,,,,,,,,,,,,,,,,-10.568023518821875,-2699023.765106825,2209209.4096054337,0.4007013561158601,0.4136504653567741,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-OP,200,136.0,136.86666666666667,131.18,155.10833333333332,54.317526669561325,22.58226281800383,0.5520549313441734,0.4584322190178806,0.09362271232629277,-0.2481062194440411,True,True,True,135.0,140.0,0.014814814814814836,0.021897810218978186,2.1847823891489297,2.140096718754845,0.0,0.10483870967741926,0.12295081967213117,0.0,False,12,2026-09-03T15:24:42.648780+09:00,1788416682,129.8121016157963,13.0,301610.59015450004,0.0,,5,0.0,complete,1788415886932,1788416435397,1338110.18645907,1642168.69808474,-0.10202350967977011,137.0,138.0,0.7299270072992803,-0.7299270072992692,1.4492753623188406,199.9999999999985,,8.222617214334083,-100.0,0.01362547708882289,0.0,,,,,,,,,,,,,,,,,22915.99015498004,-13634.1765,0.01362547708882289,0.0,rising,falling,buy_only,accelerating,neutral,False,False,False,pass
KRW-MBL,200,0.941,0.9188666666666666,0.92712,1.076925,54.97844568343008,41.080939521162804,0.009153241180388183,-0.0016727379338286857,0.010825979114216868,0.01226104075646291,False,False,True,0.937,1.02,0.004268943436499306,0.08395324123273129,3.9606590685983787,4.177435292326805,-0.0417515274949084,0.042081949058693224,0.13373493975903616,-0.0417515274949084,False,12,2026-09-03T15:24:42.648780+09:00,1788416682,1101.1573363562782,11.0,1850612.6710298276,1394338.150801337,1.3272337631773654,12,0.0,complete,1788415904445,1788416863872,49392633.4649505,14380408.64514836,0.549012931817749,0.982,0.982,0.0,-4.17515274949084,4.175152749490839,,1.3146213935081998,2811.9705825338337,-72.3282736835077,0.20819788785524906,0.0,,,,,,,,,,,,,,,,1.3146213935081998,1787060.7697115275,-3644516.7975808103,0.20819788785524906,0.0,rising,falling,buy_advantage_accelerating,accelerating,leading_buy_inflow,False,False,False,pass
KRW-MIRA,200,61.8,59.54666666666667,59.58,78.47250000000001,54.57581672774255,32.85583749558942,0.6701156610377765,-0.04784389994483143,0.7179595609826079,0.7722379990049912,False,False,True,60.8,63.8,0.019736842105263275,0.029032258064516148,3.3736312366521903,3.4730636856787593,-0.029733959311424085,0.08013937282229966,0.11913357400722036,-0.02668759811616961,False,12,2026-09-03T15:24:42.648780+09:00,1788416682,1129.8687287709236,8.0,3051094.8075151765,22294274.13126294,0.13685553472389891,40,0.0,complete,1788415988755,1788416671280,3167239.86827191,2090060.05068717,0.2048922135296433,63.7,65.0,2.0408163265306145,-2.982731554160134,4.923076923076927,246.1538461538464,-0.12487477924116216,-30.00466346496753,33.86306548992628,0.6517120604617048,-0.48309178743961567,,,,,,,,,,,,,,,,-0.12487477924116216,-1307902.460807281,5639736.862399429,0.6517120604617048,-0.48309178743961567,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass
KRW-CARV,200,48.1,46.24666666666667,43.653999999999996,57.230000000000004,59.023270380455,39.061748547753304,1.2460636899264372,0.7920699460235461,0.45399374390289116,0.5185173902727067,False,False,True,47.9,49.8,0.0041753653444676075,0.03534303534303529,2.250227009118352,2.3926966566229217,-0.0143442622950819,0.023404255319148914,0.13711583924349902,-0.0143442622950819,False,11,2026-09-03T15:24:42.648780+09:00,1788416682,287.39300998593023,10.0,0.0,0.0,,0,0.0,complete,,,1800582.19964205,1757144.89716465,0.012209284550349002,48.8,48.8,0.0,-1.43442622950819,1.434426229508188,,,-100.0,,0.0,0.0,,,,,,,,,,,,,,,,,-450023.60000000003,0.0,0.0,0.0,falling,flat_or_na,unavailable,flat_or_na,neutral,False,False,False,pass
KRW-BLAST,200,0.393,0.38680000000000003,0.37328000000000006,0.472275,56.81191183984949,47.43160547592169,0.008418304890444983,0.005580477767688547,0.0028378271227564363,0.003595769905560313,False,False,True,0.39,0.406,0.007692307692307665,0.0330788804071247,1.4446765717562178,1.4675953230038856,-0.010075566750629705,0.0025510204081633514,0.1837349397590362,-0.010075566750629705,False,11,2026-09-03T15:24:42.648780+09:00,1788416682,-37.21676720498538,10.0,0.0,0.0,,0,0.0,complete,,,312573659.50965184,190184422.91238612,0.24343564206398305,0.397,0.398,0.25188916876575096,-1.0075566750629705,1.2562814070351769,499.99999999998676,,-100.0,-100.0,8.139781532179313e-05,0.0,,,,,,,,,,,,,,,,,-11835.771521739141,-59727.722772277055,8.139781532179313e-05,0.0,falling,falling,unavailable,accelerating,neutral,False,False,False,pass
KRW-IOST,200,0.823,0.8166666666666667,0.8571,1.1277083333333333,49.25499606785628,26.012262630236677,-0.009877358413829085,-0.016445537531172068,0.006568179117342983,0.006608555027548129,False,False,True,0.788,0.86,0.04441624365482233,0.04495747266099648,3.2610162765573296,3.2946134008753556,0.016049382716049276,-0.00242424242424244,0.052429667519181544,0.016049382716049276,False,11,2026-09-03T15:24:42.648780+09:00,1788416682,341.5018411163699,8.0,2449869.4148673005,0.0,,10,0.0,complete,1788416120782,1788416489462,111921674.52991845,74573004.87732448,0.20026667662210773,0.81,0.827,2.098765432098748,1.6049382716049276,0.4836759371221287,23.529411764705756,,-81.41076946113297,-100.0,0.17837232903525546,0.0,,,,,,,,,,,,,,,,,-10729102.193156091,-167515.51380028552,0.17837232903525546,0.0,falling,falling,buy_only,accelerating,neutral,False,False,False,pass
KRW-IO,98,180.0,185.8,187.78,,47.23555088373943,21.15366638528061,-1.9204408648881781,-2.0106146973767713,0.09017383248859323,0.10436536171833222,False,False,True,173.0,184.0,0.034682080924855585,0.027932960893854775,1.7841838908178775,1.7008021317033006,0.02285714285714291,-0.011049723756906049,0.14012738853503182,0.011299435028248483,False,11,2026-09-03T15:24:42.648780+09:00,1788416682,,,19999.9999998,179000.0,0.11173184357430167,2,0.0,complete,1788416269421,1788416600060,180897.84272866,312307.12504721,-0.26643949453945304,177.0,189.0,6.779661016949157,1.6949152542372836,4.761904761904762,75.00000000000007,,-99.17692070326932,,,0.5586592178770999,,,,,,,,,,,,,,,,,-2409899.53449718,179000.0,,0.5586592178770999,falling,rising,sell_advantage_weakening,flat_or_na,neutral,False,False,False,pass
KRW-YGG,200,31.5,31.233333333333334,28.38,37.89,56.11171220504093,40.780270231532924,0.758935072966505,0.7388367801050423,0.020098292861462697,0.026887441754475883,False,False,True,31.4,31.7,0.0,0.009554140127388644,1.5030376797944696,1.4854583525369416,-0.018750000000000044,0.0228013029315961,0.0940766550522647,-0.018750000000000044,False,11,2026-09-03T15:24:42.648780+09:00,1788416682,122.34824734917322,12.0,115018.344,2741601.7209266736,0.04195297337394554,8,0.0,complete,1788415993146,1788416454894,1784318.18682632,1774247.3213391,0.0028300351543653116,32.0,32.2,0.6250000000000089,-1.5625,2.1739130434782696,349.9999999999965,0.04195297337394554,,-39.47460571307673,1.133163271171739,0.31847133757962887,,,,,,,,,,,,,,,,0.04195297337394554,115018.344,-1788070.0858028964,1.133163271171739,0.31847133757962887,rising,falling,sell_advantage_weakening,accelerating,leading_buy_inflow,False,False,False,pass
KRW-LA,200,89.9,80.95333333333333,78.324,109.74833333333332,57.852829180223786,32.393711698163365,2.199932746326894,0.7302531887235975,1.4696795576032966,1.3409825354042793,True,False,True,85.5,94.5,0.03508771929824572,0.06779661016949157,5.698490703064765,6.199063983352153,-0.0296052631578948,0.15384615384615374,0.2325905292479109,-0.025330396475770844,False,11,2026-09-03T15:24:42.648780+09:00,1788416682,1090.4702083161797,10.0,175711619.20450044,190626884.8965705,0.9217567569224943,605,0.0,complete,1788415786907,1788416833277,1457273.12680145,1941394.93241215,-0.14244456862984095,90.8,98.8,8.81057268722467,-0.9911894273127664,9.008097165991895,111.24999999999989,0.04706748587725018,93.00712641733877,83.15164108606,1.719414226891331,1.011235955056189,,,,,,,,,,,,,,,,0.04706748587725018,84672691.0228748,86545434.26572521,1.719414226891331,1.011235955056189,rising,rising,sell_advantage_weakening,accelerating,neutral,False,False,False,pass
