timestamp_kst,market,cycle_id,event,stage,t_price,price,value_x,bid_krw,ask_krw,net_krw,bid_count,bad_count,reason,decision
2026-09-06T19:15:12+09:00,KRW-RENDER,13,stage2,3,2006,2011,89.9865,5944441,0,5944441,4,0,stage2_pass,YELLOW_MINIMUM
2026-09-06T19:19:56+09:00,KRW-RENDER,13,drop_axes_change,3,2006,2015,N/A,N/A,N/A,N/A,N/A,0,axes_recovered,YELLOW_MINIMUM
2026-09-06T19:19:45+09:00,KRW-TOSHI,6,drop_axes_change,3,0.163,0.166,N/A,N/A,N/A,N/A,N/A,1,ASK>BID/net-,GREEN_REVOKED_RED_WAIT
2026-09-06T19:14:35+09:00,KRW-HBAR,6,drop_axes_change,3,110,111,N/A,N/A,N/A,N/A,N/A,0,axes_recovered,YELLOW_MINIMUM_STALE
2026-09-06T19:16:29+09:00,KRW-CHIP,19,stage5,5,80.5,82.8,14.8604,71593391,0,71593391,30,0,stage5_pass,RED_PENDING
2026-09-06T19:16:44+09:00,KRW-CHIP,19,stage5_to_stage3,3,80.5,82.8,N/A,N/A,N/A,N/A,N/A,N/A,5s_idle,RED
2026-09-06T19:19:33+09:00,KRW-CHIP,19,drop_axes_change,3,80.5,82.4,N/A,N/A,N/A,N/A,N/A,1,ASK>BID/net-,RED
2026-09-06T19:17:56+09:00,KRW-TIA,4,stage5,5,521,535,59.0200,821612,0,821612,14,0,stage5_pass,RED_LOW_VALUE
2026-09-06T19:18:02+09:00,KRW-TIA,4,stage5_to_stage3,3,521,535,N/A,N/A,N/A,N/A,N/A,N/A,5s_idle,RED
2026-09-06T19:20:05+09:00,KRW-VIRTUAL,23,reserve_stage3,3,928,928,3.1604,N/A,N/A,N/A,N/A,0,reserve_without_stage2,WATCH_RED
2026-09-06T19:08:45+09:00,KRW-ZAMA,14,stage6,6,78.8,80.1,1.4714,N/A,N/A,N/A,N/A,0,late_stage6,RED_CHASE
2026-09-06T19:09:13+09:00,KRW-ZAMA,14,reset,0,78.8,80.1,N/A,N/A,N/A,N/A,N/A,N/A,volume_normalized,RED
2026-09-06T19:19:03+09:00,KRW-STRAX,5,drop_axes_change,3,13.3,13.2,N/A,N/A,N/A,N/A,N/A,1,ASK>BID/net-,RED_KEEP_REDUCTION
