side,rank,market,price,ma15,ma50,ma120,target,gap_pct,gap_delta_pp_h,speed_to_zero_pp_h,accel_pp_h2,d_day,value_15m_krw,bid_15m_krw,ask_15m_krw,bid_ask_ratio,trades15,flow_note
golden,1,KRW-DOOD,2.2,1.885333,1.8972,2.452833,MA50,0.625483,-0.098696,0.098696,-0.098946,0.264061,230179382,114723287,115456095,0.993653,475,near-neutral after expansion
golden,2,KRW-NEWT,60.7,57.74,57.86,75.271667,MA50,0.207397,-0.016146,0.016146,-0.024229,0.535202,0,0,0,N/A,0,no trade in direct 15m
golden,3,KRW-ORCA,1872,1760.466667,1643.82,1772.108333,MA120,0.656939,-0.046131,0.046131,-0.056038,0.593367,52123122,24079392,28043730,0.858637,106,ASK dominant
golden,4,KRW-GAME2,1.16,1.111333,1.12198,1.385908,MA50,0.948918,-0.041770,0.041770,0.041770,0.946576,0,0,0,N/A,0,no trade in direct 15m
golden,5,KRW-B3,0.637,0.648733,0.65824,0.879025,MA50,1.444255,-0.035673,0.035673,0.035673,1.686920,100000,100000,0,N/A,2,two BID fills only
dead,1,KRW-PROVE,247,240.066667,239.9,286.975,MA50,-0.069473,0.019445,0.019445,0.019445,0.148866,297595,149098,148497,1.004049,2,two fills only
dead,2,KRW-CHZ,19.0,19.08,19.01,31.978333,MA50,-0.368227,0.024507,0.024507,0.049014,0.626054,5850396,2468126,3382270,0.729725,22,ASK dominant
dead,3,KRW-CBK,246,243.333333,240.36,282.216667,MA50,-1.237033,0.057923,0.057923,0.096535,0.889859,131849,32453,99396,0.326502,9,ASK dominant
dead,4,KRW-AZTEC,20.2,19.373333,19.262,23.218333,MA50,-0.577995,0.024165,0.024165,0.096674,0.996620,4887435,2755857,2131578,1.292872,21,weak BID advantage
dead,5,KRW-BARD,174,169.066667,165.22,219.316667,MA50,-2.328209,0.083860,0.083860,0.083860,1.156800,1621860,1412276,209583,6.738493,7,low-value BID concentration
