stage5_time_kst,market,cycle_id,t_time_kst,t_price,t_value_x,stage5_price,current_value_x,total10_krw,bid10_krw,ask10_krw,bid_share,trades10,rise_pct_3s,t_ticks,n01_shadow,next_state,next_time_kst,delay_sec,final_price,t02_30m_block,post_max_pct,post_min_pct,plus10_status,classification,note
2026-09-06T18:24:20+09:00,KRW-FLOCK,55,2026-09-06T18:23:49.000+09:00,105,3.102739618805355,107,4.178159612632385,8205307.609074231,5853109.565022541,2352198.0440516896,0.7133321313328461,46,0.9433962264151052,20,false,stage5_to_stage3,2026-09-06T18:24:23+09:00,3,N/A,true,N/A,N/A,N/A,recycled_by_v55,5차 기준 -4틱
2026-09-06T18:25:21+09:00,KRW-FLOCK,55,2026-09-06T18:23:49.000+09:00,105,3.102739618805355,106,1.047181590298367,8014149.126838139,7949804.24372514,64344.883113,0.9919710898693513,12,0.952380952380949,10,false,stage6,2026-09-06T18:25:29+09:00,8,106.3,true,N/A,N/A,N/A,stage6_in_progress,post-stage6 continuous price path unavailable at event cutoff
2026-09-06T18:32:00+09:00,KRW-SOPH,35,2026-09-06T18:20:34.000+09:00,7.03,3.4309331817336015,7.17,2.4337300608002126,27423727.428539038,26247134.673773024,1176592.7547660123,0.9570958120907529,33,0.5610098176718203,13.999999999999968,false,stage5_to_stage3,2026-09-06T18:32:23+09:00,23,N/A,false,N/A,N/A,N/A,recycled_by_v55,5초 체결정체
2026-09-06T18:40:54+09:00,KRW-IOST,35,2026-09-06T18:40:52.000+09:00,1.02,5.833632752663735,1.03,5.832167928475035,12702251.694590952,12314910.774590952,387340.92,0.9695061214882915,10,0.9803921568627416,10.000000000000009,false,stage5_to_stage3,2026-09-06T18:41:00+09:00,6,N/A,false,N/A,N/A,N/A,recycled_by_v55,5초 체결정체
2026-09-06T18:41:20+09:00,KRW-FLOCK,56,2026-09-06T18:41:18.000+09:00,106,4.744190188571611,107,5.12596371474408,197465612.66109923,191626954.51916447,5838658.141934739,0.9704320257929903,143,0.9433962264151052,10,false,stage5_to_stage3,2026-09-06T18:41:26+09:00,6,N/A,true,N/A,N/A,N/A,recycled_by_v55,5차 기준 -4틱
2026-09-06T18:41:54+09:00,KRW-FLOCK,56,2026-09-06T18:41:18.000+09:00,106,4.744190188571611,107,9.22139323447701,20633765.81756452,20633765.81756452,0,1,12,0.9433962264151052,10,false,stage5_to_stage3,2026-09-06T18:41:55+09:00,1,N/A,true,N/A,N/A,N/A,recycled_by_v55,5차 기준 -4틱
2026-09-06T18:42:11+09:00,KRW-FLOCK,56,2026-09-06T18:41:18.000+09:00,106,4.744190188571611,107,10.045768521878431,4974778.208507449,4974778.208507449,0,1,11,0.9433962264151052,10,false,stage5_to_stage3,2026-09-06T18:42:12+09:00,1,N/A,true,N/A,N/A,N/A,recycled_by_v55,5차 기준 -4틱
2026-09-06T18:43:08+09:00,KRW-FLOCK,56,2026-09-06T18:41:18.000+09:00,106,4.744190188571611,107,0.4804352681296555,10642194.88342559,10584685.51277714,57509.37064845001,0.9945960987109891,10,0.9433962264151052,10,false,stage5_to_stage3,2026-09-06T18:43:21+09:00,13,N/A,true,N/A,N/A,N/A,recycled_by_v55,5초 체결정체
2026-09-06T18:45:11+09:00,KRW-ZAMA,9,2026-09-06T18:06:36.000+09:00,74.1,2.8974844057823974,77.5,26.129365930375535,4679725.025474224,4640862.306766334,38862.718707889995,0.991695512343922,10,0.6493506493506551,34.00000000000006,false,stage6,2026-09-06T18:45:15+09:00,4,77.8,false,N/A,N/A,N/A,stage6_in_progress,post-stage6 continuous price path unavailable at event cutoff
2026-09-06T18:46:36+09:00,KRW-ERA,6,2026-09-06T16:13:20.000+09:00,81.2,6.54722845686001,82,8.215084071926468,2929456.940115514,2929456.940115514,0,1,9,0.4901960784313708,7.999999999999972,false,stage5_to_stage3,2026-09-06T18:46:42+09:00,6,N/A,false,N/A,N/A,N/A,recycled_by_v55,5초 체결정체
