market,fetched_kst,trade_timestamp_kst,price,day_return_pct,trade_value_15m,trade_value_30m,trade_value_45m,trade_value_60m,trade_value_90m,trade_value_120m,median_15m,anomaly_15m,change_15m_pct,change_accel_pctp,dir_15_vs_30,dir_15_vs_45,dir_15_vs_60,dir_15_vs_90,dir_15_vs_120,bid_10s,ask_10s,net_10s,ratio_10s,trades_10s,prev_bid_10s,prev_ask_10s,prev_trades_10s,bid_15m_ticks,ask_15m_ticks,trades_15m_ticks,tick_coverage_sec,slope15_1m_pct,higher_low_15m,preexpansion_score
KRW-0G,2026-09-06T17:55:46+09:00,2026-09-06T17:55:39.458+09:00,268.0,-0.37174721,30968791.93285821,37818510.64300653,50082621.63469673,102557691.16818275,233901524.70300668,441027968.0444637,43012326.61788085,0.7199980649264398,352.1177181622927,396.26598365997546,↑,↑,↑,↓,↓,0.0,353025.90958998,-353025.90958998,0.0,2,0.0,0.0,0,15191656.2631734,4993242.79884627,20,20442.58,0.04007837548984681,False,8.291997871419085
KRW-1INCH,2026-09-06T18:04:47+09:00,2026-09-06T17:59:40.144+09:00,128.0,-0.7751938,25396195.10444985,51473792.49185939,75660364.56821927,137575473.4886131,205731010.92565146,322521123.6770274,33071124.688214958,0.7679265626397005,-2.6129795350267715,-10.43147198232135,→,→,↓,↓,↓,0.0,1361815.915209,-1361815.915209,0.0,4,3791366.950791,69769.13399999999,5,3791366.950791,8655934.68627908,18,31570.909,-0.03325696548666026,False,-4.155280781096329
KRW-2Z,2026-09-06T17:56:48+09:00,2026-09-06T17:55:12.499+09:00,70.8,-1.39275766,4665587.30495685,16344413.63806983,41441188.65073559,45624516.33808411,61823536.20626936,109263252.5787456,11970592.70808794,0.389754076404633,-60.05088891742052,-6.586056592227131,↓,↓,↓,↓,↓,0.0,124607.00865698399,-124607.00865698399,0.0,3,15541.916879999999,0.0,2,270789.01896744495,124607.00865698399,12,18501.347,0.008585974221874194,True,-2.571270515954904
KRW-A,2026-09-06T17:58:45+09:00,2026-09-06T17:38:17.729+09:00,109.0,-0.9090909100000001,38155096.10240004,68837027.27140962,80016074.76529476,123829512.76333483,138122089.0299005,165691904.6668266,10752999.026049066,3.548321357601687,24.356892309760415,-150.10236896265428,↑,↑,↑,↑,↑,979967.5083999999,9754722.638358379,-8774755.129958378,0.10046082751204893,12,0.0,0.0,0,979967.5083999999,9952904.45654109,13,31039.708,-0.013074174147999652,False,3.0120758011058655
KRW-AAVE,2026-09-06T17:58:00+09:00,2026-09-06T17:57:45.833+09:00,183100.0,-0.054585150000000006,107039146.405946,122232364.841813,163458804.620275,282378246.664023,329437715.568308,513510015.06346,37133281.8900295,2.8825662844168547,604.5192357220119,667.6661421308345,↑,↑,↑,↑,↑,5554.99977,0.0,5554.99977,999.0,1,0.0,0.0,0,38055772.38269201,9707816.271451,38,11065.192,0.017984861438371875,False,15.67082291285854
KRW-ADA,2026-09-06T18:04:09+09:00,2026-09-06T18:03:45.627+09:00,297.0,-0.33557047,219037233.4711294,354759474.1679975,572233870.8152536,803533639.1611688,1023866428.9816996,1487361371.3398774,143477798.2526764,1.5266280646806867,61.3863964715577,98.97801976640935,↑,↑,↑,↑,↑,0.0,2820904.8416940602,-2820904.8416940602,0.0,1,0.0,0.0,0,160383657.1860066,59954419.78512155,84,3565.178,0.01203311513284559,False,-0.8064888217341153
KRW-AERO,2026-09-06T17:58:45+09:00,2026-09-06T17:24:46.240+09:00,744.0,-1.06382979,77711593.38736866,85951436.51043142,97077567.3606701,129893718.18136702,173225442.24405664,189247166.51174814,15054018.99544495,5.1621824983004645,843.1198170491778,869.0613394528444,↑,↑,↑,↑,↑,0.0,5802236.97589344,-5802236.97589344,0.0,1,0.0,0.0,0,20132532.98266349,23356470.73303386,130,12902.255,0.08194574009942111,True,14.17840074813051
KRW-AGLD,2026-09-06T17:59:55+09:00,2026-09-06T17:55:14.605+09:00,234.0,-0.42553191,9095128.60775958,24060017.20605497,39426946.79080137,49020094.70393704,76891557.76999266,110853198.35632211,14517596.43593103,0.6264899735915753,-39.223546182658644,-36.60727216230987,↓,↓,↓,↓,↓,64999.99999818,35000.00000172,29999.99999646,1.8571428569995918,3,0.0,0.0,0,957250.18299924,3232980.21350304,11,31917.55,-0.015240804714488923,False,0.689138970950733
KRW-AHT,2026-09-06T17:59:02+09:00,2026-09-06T17:53:38.079+09:00,1.34,0.0,13258975.53859294,20053432.56726689,38840766.02447022,65100317.03284899,77802901.46004148,86666509.46075147,7395851.48897676,1.7927584887764374,95.14400462961862,158.97890943848142,↑,→,↓,→,↑,999999.9999999894,0.0,999999.9999999894,999.0,1,0.0,0.0,0,1004823.0359711996,1294473.7658689849,4,31898.766,-0.0616071428571429,False,10.530212642164177
KRW-AI,2026-09-06T17:57:59+09:00,2026-09-06T17:53:05.758+09:00,27.8,-0.35842294,11652684.61556203,55679838.61119398,63614525.80032339,93800543.63336778,136476099.27035564,176860190.42761377,29611379.751645997,0.3935204881803691,-73.53295964413661,-528.4023948998771,↓,↓,↓,↓,↓,1560784.633622938,0.0,1560784.633622938,999.0,2,0.0,0.0,0,2410301.1338719027,100727.272727172,21,31901.159,-0.002569373072970095,True,-0.5671274630015937
KRW-AKT,2026-09-06T17:59:37+09:00,2026-09-06T17:59:27.244+09:00,747.0,1.0825439799999999,17886753.481955,46950898.39631948,79352051.76840392,99703079.00444725,130913869.10112344,217084255.53451622,24707586.07520391,0.7239377180559871,-38.457664814646705,-28.158622618837136,↓,↓,↓,↓,↓,14776.085212459999,50799.845637319995,-36023.76042486,0.2908687029868607,3,0.0,0.0,0,6970725.869951081,1423888.69754432,42,25635.043,0.04294111659626444,False,3.796331489861586
KRW-ALGO,2026-09-06T17:57:06+09:00,2026-09-06T17:54:46.792+09:00,130.0,0.7751938,7461858.14404378,35238234.183531836,78301014.30326374,89941103.93863706,134623815.13392597,304790323.1814036,27736897.38837178,0.2690228124495293,-73.13595505246728,-37.638005227255185,↓,↓,↓,↓,↓,9360.0,0.0,9360.0,999.0,1,0.0,0.0,0,535321.8320593,6048121.56894822,22,20641.311,0.019300051466803914,True,5.295925093694482
KRW-ALT,2026-09-06T17:58:00+09:00,2026-09-06T17:55:56.795+09:00,8.82,-1.12107623,29250215.034533,67622551.4603502,73109917.71049245,86160460.97988538,134179386.50759792,150426913.65317154,12277085.117002394,2.3825048662426163,-23.772650406418215,-623.0577842321851,↓,↑,↑,↑,↑,0.0,53381.9344673034,-53381.9344673034,0.0,2,0.0,0.0,0,0.0,505879.0493199284,7,31855.791,-0.011717992371182148,False,-4.379244647133122
KRW-ANIME,2026-09-06T17:59:03+09:00,2026-09-06T17:58:30.497+09:00,3.95,0.25380711,27973192.01240931,38357721.9711745,48816789.80912715,65159297.79902604,115496086.40708868,156989437.94932112,16726422.587856745,1.6723953891203032,169.37369455801118,170.08635729566916,↑,↑,↑,↑,↑,0.0,1662535.494032343,-1662535.494032343,0.0,1,0.0,0.0,0,1172279.8011728274,2555457.69899707,22,31363.633,0.025354969574036657,True,9.475704437895997
KRW-ANKR,2026-09-06T17:57:06+09:00,2026-09-06T17:52:45.724+09:00,5.85,0.68846816,14240156.930372171,27016511.83413123,62572544.21646775,103916098.33381996,221061012.59734142,274536216.2115641,34158507.03000209,0.41688464070940695,11.457117758856494,75.52410148084769,→,↓,↓,↓,↓,19999.99999998,0.0,19999.99999998,999.0,1,0.0,0.0,0,988418.1855450775,12717030.597680785,15,25992.439,0.004884004884004563,False,6.255483078368714
KRW-API3,2026-09-06T17:59:02+09:00,2026-09-06T17:57:45.389+09:00,321.0,-1.53374233,4526566.40141997,6946762.82270732,31696424.55370718,44767500.21377056,88292968.02003744,116277318.08556788,14338548.702820681,0.3156920895717642,87.03301771730581,177.25431266835574,↑,↓,↓,↓,↓,40873.572,0.0,40873.572,999.0,2,0.0,0.0,0,1773362.34301161,0.0,4,32203.504,-0.031107424305267525,True,5.0681729948287
KRW-APT,2026-09-06T17:59:03+09:00,2026-09-06T17:58:10.437+09:00,847.0,0.95351609,17940924.78666065,57001579.3206554,154039216.0000401,204203321.64302948,259298497.7369937,338794651.5914136,37636631.32496567,0.47668784785103274,-54.06906258816902,5.677839881176624,↓,↓,↓,↓,↓,0.0,137618.54469902,-137618.54469902,0.0,1,0.0,0.0,0,1255083.57912644,6376214.79947976,15,12246.785,0.014355521527652675,False,-0.3620865697403315
KRW-ARB,2026-09-06T18:00:49+09:00,2026-09-06T18:00:48.029+09:00,270.0,12.033195019999999,471466898.9556108,1486320918.8299952,2051506533.8887448,3117435947.0584297,5047830683.181423,5584732700.825058,790019817.466567,0.5967785725521536,-53.543377695447504,-133.10456836179037,↓,↓,↓,↓,↓,694293.01747344,6157548.50811944,-5463255.490646,0.11275477839239666,10,0.0,2957356.3595562,3,204371660.0931206,287770588.3006249,496,906.455,0.05750303116753442,True,1.1564564298073687
