group,market,stage5_sec,stage5_price,final_sec,final_price,bid10,ask10,bid_ratio10,direction10,arrival_bid_ratio,hold_threshold,hold3,pass_A,pass_B,pass_C,hold_prices
success,KRW-ANKR,1788393602,5.57,1788393603,5.6000000000000005,10875387.766668314,7076474.779677082,0.6058083242667376,True,0.5616396799871554,5.59,False,True,False,False,"5.57,5.54,5.51,5.51"
success,KRW-BONK,1788189381,0.00524,1788189382,0.0052699999999999,9519241.554568842,11458536.192094214,0.45377740528703386,False,0.5398714613090908,0.00526,False,False,False,False,"0.00521,0.00524,0.00524,0.00524"
success,KRW-CHIP,1788421265,68.4,1788421267,68.7,64917357.89938271,6206224.709850577,0.912740268668006,True,0.9977645045484651,68.6,True,True,True,True,"68.7,68.9,68.9,68.9"
success,KRW-CRV,1788263761,513.0,1788263772,516.0,3091446.3428249704,3933967.87701348,0.44003759011038907,False,0.3934505256947277,515.0,False,False,False,False,"512,512,518,514"
success,KRW-EGLD,1788325058,5885.0,1788325066,5900.0,1098999.84477005,0.0,1.0,True,1.0,5895.0,True,True,True,True,"5900,5900,5900,5900"
success,KRW-HIVE,1788393976,62.5,1788393983,62.8,18748899.301997576,10729943.775249895,0.6360120460924215,True,0.25843057755218296,62.7,False,True,False,False,"62.7,62.7,62.4,62.4"
success,KRW-ICX,1788222598,21.1,1788222632,21.4,5371380.834648774,18863096.53298155,0.22164211561761418,False,0.04922089846427837,21.3,True,False,True,False,"21.3,21.4,21.4,21.4"
success,KRW-INJ,1788333219,6255.0,1788333225,6270.0,2659743.8622824,0.0,1.0,True,1.0,6265.0,True,True,True,True,"6310,6310,6310,6310"
success,KRW-IQ,1788221062,0.927,1788221071,0.93,876178.8531401762,8702.382,0.9901654802312296,True,0.9895295851340767,0.929,True,True,True,True,"0.93,0.932,0.932,0.933"
success,KRW-MOC,1788320466,26.9,1788320473,27.2,38254099.223184414,31292029.390532482,0.5500536116921881,True,1.0,27.1,True,True,True,True,"27.2,27.2,27.2,27.1"
success,KRW-SC,1788220806,0.831,1788220808,0.834,4948961.6772343395,1773872.0161074474,0.7361422136822648,True,0.7326501033885041,0.833,True,True,True,True,"0.839,0.845,0.845,0.845"
success,KRW-SNT,1788393997,9.14,1788394010,9.17,4049370.2117055724,454959.63060000003,0.8989950455388662,True,0.8975144376483879,9.16,False,True,False,False,"9.15,9.15,9.17,9.17"
success,KRW-SOPH,1788307204,5.7,1788307206,5.73,7800885.190160582,6616234.049758809,0.5410848769677096,True,0.4949495387928006,5.72,True,True,True,True,"5.8,5.8,5.79,5.83"
success,KRW-T,1788307509,5.21,1788307511,5.24,26780390.351289693,27878406.990205426,0.48995571900296686,False,0.027592802629141096,5.23,False,False,False,False,"5.21,5.22,5.22,5.22"
success,KRW-DRV,1788566404,230.0,1788566406,233.0,4469537.13719671,9756211.690640967,0.3141864228932884,False,0.07902537521506665,232.0,True,False,True,False,"238,238,233,238"
live_failure,KRW-FLOCK,1788642806,86.4,1788642807,86.7,40571499.95383568,9626702.765053194,0.8082261466817257,True,1.0,86.6,False,True,False,False,"86.7,86.7,86.5,86.4"
live_failure,KRW-ZRO,1788644733,1453.0,1788644736,1456.0,1757068.122806,1140356.08,0.6064241891485457,True,,1455.0,True,True,True,True,"1460,1460,1461,1461"
live_failure,KRW-ZRO,1788645698,1457.0,1788645699,1460.0,6559796.309162971,6942.426309369999,0.9989427893222143,True,1.0,1459.0,True,True,True,True,"1460,1463,1463,1466"
live_failure,KRW-FLOCK,1788647191,86.7,1788647198,87.0,44568877.21160866,20666383.582351506,0.6832022539524375,True,0.06316372531274363,86.9,False,True,False,False,"87,86.5,86.5,86.5"
live_failure,KRW-FLOCK,1788647642,89.0,1788647643,89.3,8911770.82619693,356873.7922658299,0.9614966581462242,True,1.0,89.2,False,True,False,False,"89.3,89.3,89.4,89.1"
