market,cycle,result,stage5_attempts,returns,arrival_sec,final_sec,stage5_sec,stage5_price,final_price,base_launch_sec,delay_vs_v54_sec
KRW-ANKR,ANKR,PASS6_CONFIRMED,4,3,1788393716,1788393719,1788393715,6.0,6.17,1788393602,117
KRW-BONK,BONK,PASS6_CONFIRMED,8,7,1788189769,1788189772,1788189761,0.00537,0.00545,1788189381,391
KRW-CHIP,CHIP,PASS6_CONFIRMED,3,2,1788421267,1788421270,1788421265,68.4,68.9,1788385469,35801
KRW-CRV,CRV,PASS6_CONFIRMED,5,4,1788263867,1788263870,1788263866,613.0,625.0,1788263749,121
KRW-EGLD,EGLD,PASS6_CONFIRMED,1,0,1788325066,1788325069,1788325058,5885.0,5900.0,1788325060,9
KRW-HIVE,HIVE,PASS6_CONFIRMED,5,4,1788394106,1788394109,1788394100,63.1,63.4,1788393976,133
KRW-ICX,ICX,PASS6_CONFIRMED,1,0,1788222632,1788222635,1788222598,21.1,21.4,1788222598,37
KRW-INJ,INJ,PASS6_CONFIRMED,1,0,1788333225,1788333228,1788333219,6255.0,6310.0,1788333219,9
KRW-IQ,IQ,PASS6_CONFIRMED,1,0,1788221071,1788221074,1788221062,0.927,0.933,1788221062,12
KRW-MOC,MOC,PASS6_CONFIRMED,2,1,1788320473,1788320476,1788320466,26.9,27.1,1788319316,1160
KRW-SC,SC,PASS6_CONFIRMED,1,0,1788220808,1788220811,1788220806,0.831,0.845,1788220806,5
KRW-SNT,SNT,PASS6_CONFIRMED,12,11,1788394560,1788394563,1788394543,9.69,9.73,1788393840,723
KRW-SOPH,SOPH,PASS6_CONFIRMED,1,0,1788307206,1788307209,1788307204,5.7,5.83,1788307204,5
KRW-T,T,PASS6_CONFIRMED,5,4,1788307847,1788307850,1788307836,5.18,5.21,1788307473,377
KRW-DRV,DRV,PASS6_CONFIRMED,1,0,1788566406,1788566409,1788566404,230.0,238.0,1788566404,5
