activate,drop,no_high_sec,avg_net,median_net,avg_capture,median_capture,wins,worst
1,0.5,15,4.171903436680931,1.1618296529968597,20.941308963511727,49.49999999999983,15,-1.964406779661021
1,0.75,15,4.1390263156974765,1.1618296529968597,18.65372726416535,49.10666666666712,15,-1.964406779661021
1,1,15,4.091595757240769,1.1618296529968597,13.337337664847304,46.433333333332946,14,-1.964406779661021
1,0.5,30,3.8413575843312193,1.007011070110686,10.61781587149001,38.9857142857139,13,-1.964406779661021
1,0.75,30,3.8413575843312193,1.007011070110686,10.61781587149001,38.9857142857139,13,-1.964406779661021
1,1,30,3.7726607781628774,1.007011070110686,7.0691807311593555,35.45294117647017,12,-1.964406779661021
1,0.5,45,3.8269529407780514,1.1618296529968597,5.699037851201433,41.387499999999,12,-1.964406779661021
1,0.5,90,4.719830225900388,1.030524152106882,2.8762959338414706,46.11578947368435,11,-1.964406779661021
1,1.5,15,3.9144221420410084,0.9291595197255532,2.5162887365318998,24.550000000000285,12,-1.964406779661021
1,0.5,60,4.531266342383279,1.1332990750256955,2.0074513382811032,25.06315789473677,11,-1.964406779661021
1,0.75,90,4.701693474797069,1.007011070110686,1.838233650104469,41.33529411764694,11,-1.964406779661021
1,1,90,4.6956478910959625,1.007011070110686,1.4922128888587767,38.9857142857139,11,-1.964406779661021
1,0.75,45,3.7432210056810904,1.1618296529968597,0.585345315363662,30.326315789473597,11,-1.964406779661021
1,0.75,60,4.49734501264313,0.7221993833504637,0.3292506462395931,25.06315789473677,11,-1.964406779661021
1,1,45,3.717697432108539,1.1618296529968597,-0.34891073999966155,30.326315789473597,11,-1.964406779661021
1,1,60,4.471821439070579,0.6194244604316502,-0.6050054091237304,25.06315789473677,11,-1.964406779661021
1,1.5,30,3.635070746937621,0.6380073800737908,-1.066293967464117,24.550000000000285,10,-1.964406779661021
1,0.5,120,4.987895946961833,0.5166495375128367,-1.234038410712477,29.570588235293396,10,-2.1183486238532057
1,0.75,120,4.987895946961833,0.5166495375128367,-1.234038410712477,29.570588235293396,10,-2.1183486238532057
1,1.5,90,4.599306318250316,1.520745542949753,-1.7375302863861084,36.08846153846142,11,-1.964406779661021
1,1,120,4.968623154714643,0.5166495375128367,-1.754400401662667,29.570588235293396,10,-2.1183486238532057
1,0.5,300,3.8210523053544585,2.6552674230145956,-1.893056713325207,42.207407407407786,11,-18.340000000000003
1,0.75,300,3.7895284417897392,2.6552674230145956,-2.53244290258353,42.207407407407786,11,-18.340000000000003
1,1,300,3.783482858088633,2.572147995888996,-2.6914254145072274,42.207407407407786,11,-18.340000000000003
1,3,120,6.457537207019056,2.3673439767779247,-3.354819412486658,40.77749999999979,12,-2.1183486238532057
1,1.5,60,4.456260192274182,1.555629139072845,-3.439359659568006,25.06315789473677,11,-1.964406779661021
1,1.5,120,5.015729205394046,1.555629139072845,-4.372494557669799,46.018918918918835,10,-2.1183486238532057
1,3,90,5.0106718346811885,2.3673439767779247,-5.971034904005495,40.77749999999979,12,-2.0193857965451034
1,1.5,45,3.6308895088446316,0.6886435331230235,-6.040407847586892,28.39615384615364,11,-1.964406779661021
1,3,60,4.732768311579608,2.0008403361344462,-6.049041690777711,28.406521739130415,12,-2.0193857965451034
1,0.5,600,4.392032047916848,2.365166130760976,-7.384694389770306,35.77333333333297,13,-19.140000000000004
1,0.75,600,4.392032047916848,2.365166130760976,-7.384694389770306,35.77333333333297,13,-19.140000000000004
1,1,600,4.392032047916848,2.365166130760976,-7.384694389770306,35.77333333333297,13,-19.140000000000004
1,3,600,4.465639922286119,3.702672147995878,-7.811459350641915,40.77749999999979,13,-19.140000000000004
1,3,15,4.051284497339349,1.4005359056806,-8.55308217897034,28.406521739130415,12,-2.0193857965451034
1,3,300,4.245853427345216,2.6552674230145956,-8.594339614388268,40.77749999999979,11,-18.340000000000003
1,1.5,300,3.7426060592653108,1.8867549668874273,-8.7588214317754,42.207407407407786,10,-18.340000000000003
1,3,180,3.936809337103451,1.4005359056806,-9.820352948324347,28.406521739130415,11,-10.819999999999995
1,3,30,3.867625296623666,1.4005359056806,-10.400632416424871,28.406521739130415,11,-2.0193857965451034
1,2,60,4.320776302817795,0.9277492291880686,-10.636793308050196,24.397297297297115,11,-1.964406779661021
1,3,45,3.8234108966569775,1.4005359056806,-10.993362027191901,28.406521739130415,12,-2.0193857965451034
1,1.5,600,4.358366956976822,2.365166130760976,-11.791409075644658,29.802702702702835,12,-19.140000000000004
1,2,120,5.702295262486406,0.9277492291880686,-12.281642800646372,24.397297297297115,10,-2.1183486238532057
1,2,90,4.3545253025668496,0.8933774834437026,-12.449592008319897,19.98518518518512,11,-1.964406779661021
1,1.5,180,3.462084593240459,1.007011070110686,-12.466415552264156,16.052941176470338,9,-10.819999999999995
1,2,300,3.630800186145808,1.8867549668874273,-13.003827307216097,33.434693877551126,10,-18.340000000000003
1,0.5,180,3.3955831725282892,0.6194244604316502,-13.087943654761137,16.052941176470338,9,-10.819999999999995
1,0.75,180,3.3955831725282892,0.6194244604316502,-13.087943654761137,16.052941176470338,9,-10.819999999999995
1,1,180,3.3955831725282892,0.6194244604316502,-13.087943654761137,16.052941176470338,9,-10.819999999999995
1,2,600,4.303156722908952,2.365166130760976,-13.74218938776954,29.802702702702835,12,-19.140000000000004
1,4,120,6.294384108954319,2.572147995888996,-13.929133326996027,32.50259740259733,13,-3.1710172744721765
1,5,300,4.543911356175895,2.0069692058346855,-15.229508366586549,25.271428571428586,11,-18.340000000000003
1,2,15,3.5815195730978506,0.9277492291880686,-16.704446986403408,19.346428571428504,11,-1.964406779661021
1,5,90,5.940102130155538,2.2638232271325776,-17.639318163500512,28.6064935064935,11,-3.5862385321100976
1,4,300,4.32197128202361,2.572147995888996,-17.74392351373346,32.50259740259733,11,-18.340000000000003
1,4,180,3.9547085728774714,1.3513788098693857,-18.03905451418154,23.277500000000188,12,-10.819999999999995
1,5,600,4.2754802835176,2.2638232271325776,-18.346705653443045,23.662499999999998,11,-19.140000000000004
1,2,180,3.340466917755105,0.9277492291880686,-18.55036999263804,16.052941176470338,9,-10.819999999999995
1,4,90,4.888153235376895,2.572147995888996,-18.791491099663286,32.50259740259733,13,-3.1710172744721765
1,2,30,3.3294929961597908,0.2690036900368954,-20.164023966370568,10.414285714285574,9,-1.964406779661021
1,2,45,3.2897927021957005,0.2690036900368954,-20.219013397453732,10.414285714285574,10,-1.964406779661021
1,4,600,3.90824939681015,2.572147995888996,-20.51216152895625,23.662499999999998,13,-19.140000000000004
1,4,60,4.38508788222658,2.0008403361344462,-20.525972963431276,25.06315789473677,13,-3.1710172744721765
1,5,120,5.037762833810308,2.2638232271325776,-21.301784813416894,28.6064935064935,11,-3.5862385321100976
1,5,180,4.220897689613837,2.2638232271325776,-21.397997652820436,28.6064935064935,10,-10.819999999999995
1,4,30,3.7265674804013353,1.3760147601476036,-21.825163241719935,23.277500000000188,12,-3.1710172744721765
1,4,15,3.96420191425467,1.3760147601476036,-21.836139169490735,23.277500000000188,12,-3.1710172744721765
1,4,45,3.6918868777461147,1.3760147601476036,-22.19164850859559,23.277500000000188,13,-3.1710172744721765
1,5,60,4.094110682197401,2.0008403361344462,-22.788302537538552,25.06315789473677,11,-3.5862385321100976
1,5,45,3.8552970390931014,2.2638232271325776,-23.129716407018112,28.6064935064935,11,-3.5862385321100976
1,5,15,3.420660813548679,0.6380073800737908,-27.782702064951305,10.170588235293952,10,-3.5862385321100976
1,5,30,3.2554627152919435,0.6380073800737908,-28.117525881685175,10.170588235293952,10,-3.5862385321100976
7,0.5,15,5.688778870716477,5.609876543209869,-36.18207302324328,70.89920948616601,13,-17.898165137614686
5,0.5,45,5.467617625783264,4.697047970479685,-36.79489934072798,74.87647058823492,13,-17.898165137614686
