case_label,market,cycle_id,stage6_kst,stage6_price,observed_sec,post_stage6_high,max_return_pct,post_stage6_low,max_drawdown_pct,sec_to_10pct,outcome,t_value_x,t_age_sec,stage5_attempts,stage4_rise_pct,stage4_t_ticks,stage4_trades10,stage5_bid_share,stage6_rise_pct,stage5_to_6_sec
V55_FLOCK_C2_061327,KRW-FLOCK,2,2026-09-06T06:13:27+09:00,86.7,3595,87.0,0.34602076124568004,83.3,-3.9215686274509887,,FAKE,3.1846853472647045,36,4,0.46511627906977715,17.00000000000003,65,0.7988098841888547,0.3472222222222099,1
V55_ZRO_C4_064536,KRW-ZRO,4,2026-09-06T06:45:36+09:00,1456.0,3364,1484.0,1.9230769230769162,1447.0,-0.6181318681318659,,FAKE,11.960636130483337,2261,1,0.9027777777777857,31.0,8,0.6368499040372902,0.2064693737095613,3
V55_ZRO_C7_070140,KRW-ZRO,7,2026-09-06T07:01:40+09:00,1460.0,3573,1474.0,0.9589041095890316,1449.0,-0.7534246575342518,,FAKE,5.331436943212752,7,1,0.4135079255685792,10.0,17,0.9989313666071538,0.20590253946466408,1
V55_FLOCK_C7_072638,KRW-FLOCK,7,2026-09-06T07:26:38+09:00,87.0,3599,89.4,2.758620689655178,84.7,-2.643678160919538,,FAKE,4.536947856848082,89,4,0.4634994206257348,12.000000000000028,63,0.5644082508047769,0.34602076124568004,7
V55_FLOCK_C8_073402,KRW-FLOCK,8,2026-09-06T07:34:02+09:00,89.3,3600,89.4,0.11198208286675726,84.1,-5.823068309070556,,FAKE,2.8076983478937927,51,1,0.7927519818799578,9.000000000000057,99,0.9928707010863533,0.3370786516853963,1
V55_FLOCK_C11_083537,KRW-FLOCK,11,2026-09-06T08:35:37+09:00,85.7,3600,92.1,7.467911318553089,84.6,-1.2835472578763274,,FAKE,2.8481583361982756,99,1,0.9456264775413947,10.0,50,0.9555613549971288,0.3512880562060783,1
V55_ELSA_C10_084016,KRW-ELSA,10,2026-09-06T08:40:16+09:00,72.89999999999999,3582,78.1,7.133058984910834,72.4,-0.685871056241405,,FAKE,4.734911596732841,767,1,0.5540166204986097,7.999999999999972,28,0.8463230256113292,0.4132231404958553,3
V55_SOPH_C2_090011,KRW-SOPH,2,2026-09-06T09:00:11+09:00,6.48,3600,7.14,10.185185185185164,6.44,-0.6172839506172867,371.0,SUCCESS,8.691026595019135,11017,5,2.0569620253164445,40.000000000000036,85,0.999636377603152,0.46511627906977715,2
V55_FLOCK_C12_090043,KRW-FLOCK,12,2026-09-06T09:00:43+09:00,89.0,3599,92.1,3.483146067415732,85.5,-3.93258426966292,,FAKE,3.0993911859596577,15,1,0.45300113250283935,10.0,115,0.9477313611868416,0.33821871476888976,2
V55_ELSA_C11_090058,KRW-ELSA,11,2026-09-06T09:00:58+09:00,74.0,3598,78.1,5.5405405405405395,73.7,-0.40540540540540126,,FAKE,3.3066088537454235,100,1,0.5457025920873271,11.000000000000085,54,0.9973850700787866,0.407055630936215,8
