extra_rise_pct,deadline_sec,success_kept,success_total,fake_removed,fake_total
0.25,3,2,2,8,19
0.25,5,2,2,8,19
0.25,10,2,2,6,19
0.25,20,2,2,5,19
0.25,30,2,2,5,19
0.25,60,2,2,5,19
0.25,120,2,2,5,19
0.25,300,2,2,3,19
0.25,600,2,2,2,19
0.5,3,1,2,16,19
0.5,5,2,2,13,19
0.5,10,2,2,12,19
0.5,20,2,2,8,19
0.5,30,2,2,8,19
0.5,60,2,2,8,19
0.5,120,2,2,8,19
0.5,300,2,2,5,19
0.5,600,2,2,3,19
1.0,3,1,2,19,19
1.0,5,1,2,18,19
1.0,10,1,2,17,19
1.0,20,2,2,13,19
1.0,30,2,2,13,19
1.0,60,2,2,12,19
1.0,120,2,2,12,19
1.0,300,2,2,11,19
1.0,600,2,2,9,19
1.5,3,1,2,19,19
1.5,5,1,2,19,19
1.5,10,1,2,17,19
1.5,20,2,2,15,19
1.5,30,2,2,15,19
1.5,60,2,2,13,19
1.5,120,2,2,13,19
1.5,300,2,2,11,19
1.5,600,2,2,10,19
2.0,3,1,2,19,19
2.0,5,1,2,19,19
2.0,10,1,2,18,19
2.0,20,1,2,17,19
2.0,30,2,2,17,19
2.0,60,2,2,14,19
2.0,120,2,2,14,19
2.0,300,2,2,13,19
2.0,600,2,2,12,19
3.0,3,0,2,19,19
3.0,5,1,2,19,19
3.0,10,1,2,19,19
3.0,20,1,2,19,19
3.0,30,2,2,18,19
3.0,60,2,2,18,19
3.0,120,2,2,16,19
3.0,300,2,2,15,19
3.0,600,2,2,14,19
