record_type,market,cycle_id,t_time_kst,t_price,t_value_x,stage5_time_kst,stage5_price,current_value_x,bid,ask,net,bid_share,trades10,rise_pct_3s,t_ticks,stage6_time_kst,final_price,plus3_sec,prior_returns,return_reason,post_max_pct,post_min_pct,observed_kst,observed_return_pct,max_idle_gap_sec,classification,note
stage6,KRW-UP2,16,N/A,73.1,60.542721055240726,2026-09-06T17:46:50+09:00,73.9,2.75836855055436,990904.305453653,0.0,990904.305453653,1.0,7,0.5442176870748439,8.000000000000114,2026-09-06T17:46:55+09:00,74.2,5,1,reset,0.0,-1.482479784366586,2026-09-06T18:35:00,-1.3477088948787075,N/A,in_progress_fake_leaning,signal-minute extrema excluded; minute outcomes start from next minute
stage6,KRW-CHIP,16,2026-09-06T16:04:08+09:00,78.2,2.891417977432287,2026-09-06T17:33:57+09:00,80.5,1.8754026288591352,7600455.302767347,315477.460577791,7284977.842189556,0.9601465209458809,37,0.4993757802746579,22.99999999999997,2026-09-06T17:34:04+09:00,80.8,7,0,reset,3.836633663366351,-0.6188118811881194,2026-09-06T18:36:00,0.0,N/A,in_progress_fake_leaning,signal-minute extrema excluded; minute outcomes start from next minute
stage6,KRW-SOPH,32,2026-09-06T15:46:53+09:00,6.64,2.828918986751014,2026-09-06T17:48:04+09:00,7.08,1.0662291594578035,22737136.93730534,5935035.3412462715,16802101.59605907,0.7930036383854316,43,0.7112375533428139,44.000000000000036,2026-09-06T17:48:22+09:00,7.11,18,5,reset,4.360056258790435,-1.1251758087201136,2026-09-06T18:36:00,0.2812939521800173,N/A,in_progress_fake_leaning,signal-minute extrema excluded; minute outcomes start from next minute
stage6,KRW-FLOCK,53,2026-09-06T17:17:45+09:00,99.3,2.8029709666744034,2026-09-06T17:37:14+09:00,101.0,2.341771556221062,22142345.612608273,17660800.65193313,4481544.960675143,0.5562963657557333,48,1.5075376884422065,17.00000000000003,2026-09-06T17:37:20+09:00,101.3,6,13,reset,9.57551826258638,1.6781836130306038,2026-09-06T18:36:00,4.639684106614017,N/A,in_progress_fake_leaning,signal-minute extrema excluded; minute outcomes start from next minute
stage6,KRW-BONK,51,2026-09-06T17:40:23+09:00,0.00557,22.792633880763084,2026-09-06T17:40:57+09:00,0.0057,10.208184571586704,30050741.987240676,8323047.045142644,21727694.942098033,0.7831059362389547,32,0.7067137809187329,12.99999999999999,2026-09-06T17:40:58+09:00,0.00573,1,0,reset,3.315881326352521,-8.551483420593364,2026-09-06T18:36:00,2.0942408376963373,N/A,in_progress_fake_leaning,signal-minute extrema excluded; minute outcomes start from next minute
stage6,KRW-IOST,33,2026-09-06T18:05:04+09:00,1.0,15.791980936537177,2026-09-06T18:05:56+09:00,1.01,1.9375333070321903,35445724.40152742,664571.89743299,34781152.50409443,0.9815960552654861,26,1.0000000000000009,10.000000000000009,2026-09-06T18:06:08+09:00,1.013,12,0,reset,1.6781836130306038,-1.2833168805527984,2026-09-06T18:36:00,0.6910167818361401,N/A,in_progress_fake_leaning,signal-minute extrema excluded; minute outcomes start from next minute
stage6,KRW-FLOCK,54,2026-09-06T18:16:25+09:00,108.0,4.363570003219186,2026-09-06T18:19:00+09:00,109.0,0.26266955275382076,2511275.15550962,598074.90587784,1913200.24963178,0.8076527589142003,15,0.92592592592593,10.0,2026-09-06T18:19:15+09:00,109.3,15,5,active_at_event_cutoff,-0.2744739249771255,-4.849039341262573,2026-09-06T18:36:00,-3.019213174748392,N/A,in_progress_fake_leaning,signal-minute extrema excluded; minute outcomes start from next minute
stage6_pre_failure,KRW-FOLD,9,N/A,76.1,3.134836965930809,2026-09-06T17:42:25+09:00,77.5,1.9969221529969008,2327280.9999995492,0.0,2327280.9999995492,1.0,21,1.04302477183833,14.000000000000057,N/A,N/A,N/A,1,"{""5초 체결정체"": 1}",N/A,N/A,2026-09-06T17:42:36+09:00,N/A,N/A,stage6_pre_failure,same cycle may have been reported earlier; row preserves new attempts after 17:20:26
stage6_pre_failure,KRW-PROS,6,N/A,566.0,5094.99999748,2026-09-06T18:11:22+09:00,575.0,163.36552590587777,9000160.999994429,0.0,9000160.999994429,1.0,11,1.0544815465729274,9.0,N/A,N/A,N/A,1,"{""5차 기준 -4틱"": 1}",N/A,N/A,2026-09-06T18:11:27+09:00,N/A,N/A,stage6_pre_failure,same cycle may have been reported earlier; row preserves new attempts after 17:20:26
stage6_pre_failure,KRW-UP2,17,N/A,73.2,5.163790198037013,2026-09-06T18:19:50+09:00,74.2,3.869841344209032,485289.98539477994,0.0,485289.98539477994,1.0,8,0.952380952380949,10.0,N/A,N/A,N/A,1,"{""5초 체결정체"": 1}",N/A,N/A,2026-09-06T18:19:56+09:00,N/A,N/A,stage6_pre_failure,same cycle may have been reported earlier; row preserves new attempts after 17:20:26
