timestamp_kst,market,cycle_id,t_sec,event,price,detail
2026-09-06T21:48:54+09:00,KRW-ENS,1,1788698934,stage1,8255,"rolling60_ratio=2.90598"
2026-09-06T21:49:04+09:00,KRW-ENS,1,1788698934,stage2_stage3,8255,"bid=1174572;ask=0;bid_count=2"
2026-09-06T21:52:49+09:00,KRW-ENS,1,1788698934,stage4_stage5,8300,"high3s=8330;rise_pct=0.4843;T_plus_ticks=9;trades10=40;bid=9858531;ask=0"
2026-09-06T21:52:50+09:00,KRW-ENS,1,1788698934,stage6,8315,"stage5_to_stage6=1s"
2026-09-06T21:53:38+09:00,KRW-ENS,1,1788698934,confirmation_to_stage3,8315,"reason=6차 후 30초 내 +0.5% 미달;stage7=N/A"
2026-09-06T22:18:27+09:00,KRW-ENS,1,1788698934,drop_reset,8240,"reason=price<=T-2tick and ASK>BID/net_negative"
2026-09-06T22:35:44.116+09:00,KRW-ENS,1,1788698934,outcome,8290,"stage6_ref=8315;high=8330(+0.1804%);low=8240(-0.9020%);latest=-0.3007%;plus10=false;stage8=N/A"
2026-09-06T21:21:06+09:00,KRW-ORCA,9,1788697266,stage1,1869,"rolling60_ratio=25.9597"
2026-09-06T21:21:30+09:00,KRW-ORCA,9,1788697266,stage2_stage3,1869,"precursor only"
2026-09-06T21:23:59+09:00,KRW-ORCA,9,1788697266,drop,1860,"reason=price<=T-2tick and ASK>BID/net_negative"
2026-09-06T21:25:43+09:00,KRW-ORCA,N/A,N/A,coverage_gap_start,N/A,"next radar event at 21:42:25;gap=1002s"
2026-09-06T21:31:00+09:00,KRW-ORCA,N/A,N/A,first_plus10_minute,1945,"session_open=1760;threshold=1936;radar coverage gap so stage4-stage8=N/A"
2026-09-06T21:42:25+09:00,KRW-ORCA,N/A,N/A,coverage_gap_end,N/A,"scanner resumed;cycle_id generation restarted"
2026-09-06T21:43:31+09:00,KRW-ORCA,5,1788698611,post_gap_stage1,2027,"post-wave T;stage4 rejected then drop"
2026-09-06T22:16:56+09:00,KRW-ORCA,7,1788700534,post_wave_stage5,1980,"returned to stage3 by -4tick at 22:17:06;no stage6"
2026-09-06T22:34:00+09:00,KRW-ORCA,N/A,N/A,outcome,1966,"session_high=2099(+19.2614%);classification=coverage_gap_missed"
2026-09-06T22:33:46.259+09:00,KRW-ZAMA,4,N/A,outcome_update,84.1,"stage6_ref=81.8 high=85.2(+4.1565%) low=80.4(-1.7115%);stage8_signal_ref=82.7 high=+3.022% low=-2.7811%;plus10=false;actual_fill=N/A"
2026-09-06T22:24:17+09:00,ALL,N/A,N/A,delta_summary,N/A,"rows=7759;stage5=16;stage5_to_stage3=15;stage6=1;confirmation_to_stage3=1;stage7=0;stage8=0;F03_reject_attempts=7;N01_blocks=0;T02_blocks=0"
