record_type,market,cycle_id,time_kst,event,t_price,t_value_x,price,current_value_x,bid_krw,ask_krw,net_krw,bid_count,start,high,last,high_ticks,last_ticks,rise_pct,t_ticks,trades10,bad_count,reason,decision
summary,ALL,,2026-09-06T19:58:25+09:00~2026-09-06T20:20:05+09:00,increment,,,,,,,,,,,,,,,,,,"stage1=362;stage2=272;stage3=272;stage4_reject=11;stage4/5/6/7/8=0;reset=118;drop=45;drop_axes_change=2612","cold-start flood suspected after process restart; no final signal"
watch,KRW-WLD,2,2026-09-06T20:12:31+09:00,stage2,564,3.635748,564,3.649380,82711982.93,0,82711982.93,42,,,,,,,,,0,"latest 20:19:51 price 568; T+0.7092%; no Stage4","YELLOW_1"
watch,KRW-ONDO,1,2026-09-06T20:08:13+09:00,stage2,515,4.071620,515,4.071620,25450281.08,0,25450281.08,9,,,,,,,,,0,"latest 20:20:03 price 517; T+0.3883%; no Stage4","YELLOW_2"
watch,KRW-JUP,2,2026-09-06T20:00:08+09:00,stage2,361,3.161034,362,3.170542,4171071.58,1209271.95,2961799.63,7,,,,,,,,,0,"latest 20:19:59 price 377; T+4.4321%; slow staircase/no Stage4; do not chase","YELLOW_3"
watch,KRW-AVNT,1,2026-09-06T20:07:10+09:00,stage2,144,10.904834,144,10.904834,20604907.83,0,20604907.83,10,,,,,,,,,0,"latest 20:15:23 price 144; no price expansion","YELLOW_4"
watch,KRW-SPK,1,2026-09-06T20:03:33+09:00,stage2,30.1,3.370393,30.1,3.370393,1399425.97,94936.71,1304489.26,17,,,,,,,,,0,"latest 20:19:57 price 30.3; T+0.6645%; low absolute flow","YELLOW_5"
downgrade,KRW-FLOCK,1,2026-09-06T20:03:22+09:00,stage2,105,3.046379,105,3.054501,61255928.03,0,61255928.03,81,,,,,,,,,1,"latest 20:20:04 price 106; ASK>BID/net-; no Stage4","RED"
position,KRW-STRAX,1,2026-09-06T20:06:20+09:00,stage2,13.2,7.302450,13.3,0.029719,26600,0,26600,2,,,,,,,,,0,"current multiplier collapsed after delayed Stage2; no Stage4","keep prior 50% reduction/no add; exit below 12.5"
reject,KRW-HYPER,1,2026-09-06T19:58:34+09:00,stage4_reject,94.8,162.777700,,,,,,,,94.4,94.9,94.9,5,5,0.529661,1,42,,"T+8 ticks failed","REJECT"
reject,KRW-TRUMP,1,2026-09-06T20:00:26+09:00,stage4_reject,3232,7.028517,,,,,,,,3226,3232,3232,6,6,0.185989,0,40,,"rise 0.40% and T+8 failed","REJECT"
reject,KRW-TRUMP,2,2026-09-06T20:02:51+09:00,stage4_reject,3225,7.639581,,,,,,,,3222,3226,3226,4,4,0.124146,1,22,,"rise 0.40% and T+8 failed","REJECT"
reject,KRW-ELSA,1,2026-09-06T20:05:09+09:00,stage4_reject,73.5,3.493564,,,,,,,,73.1,73.5,73.5,4,4,0.547196,0,17,,"T+8 failed; later DROP/reset","REJECT"
reject,KRW-BONK,3,2026-09-06T20:05:40+09:00,stage4_reject,0.00546,4.847214,,,,,,,,0.00549,0.00553,0.00553,4,4,0.728597,7,35,,"T+8 missed by 1 tick; later DROP/reset","REJECT"
reject,KRW-BONK,4,2026-09-06T20:10:35+09:00,stage4_reject,0.00545,2.819527,,,,,,,,0.00547,0.00551,0.00551,4,4,0.731261,6,39,,"T+8 failed; later DROP/reset","REJECT"
reject,KRW-QUID,2,2026-09-06T20:12:34+09:00,stage4_reject,93.6,2.897734,,,,,,,,94,94.4,94.4,4,4,0.425532,8,2,,"trades10<7","REJECT"
reject,KRW-ENS,2,2026-09-06T20:13:51+09:00,stage4_reject,8325,3.760141,,,,,,,,8330,8355,8355,5,5,0.300120,6,3,,"rise 0.40%; T+8; trades10 failed","REJECT"
reject,KRW-PENDLE,2,2026-09-06T20:16:36+09:00,stage4_reject,2874,5.122743,,,,,,,,2874,2881,2881,7,7,0.243563,7,2,,"rise 0.40%; T+8; trades10 failed","REJECT"
reject,KRW-BCH,3,2026-09-06T20:18:06+09:00,stage4_reject,355600,7.931639,,,,,,,,355600,356000,356000,4,4,0.112486,4,6,,"rise 0.40%; T+8; trades10 failed","REJECT"
reject,KRW-QUID,2,2026-09-06T20:19:13+09:00,stage4_reject,93.6,2.897734,,,,,,,,93.7,94.2,94.2,5,5,0.533618,6,8,,"T+8 failed","REJECT"
