market,snapshot_kst,snapshot_epoch,price,value_accel_pct,launch_score,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,slope15,gap120,f120up,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_value_accel_pct,delta_price_pct_15m,delta_launch_score,delta_slope15,delta_gap120,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-0G,2026-09-04T06:58:14.627217+09:00,1788472694,258.0,2623.4889794589362,10.0,8809505.56988521,13623454.287778681,0.6466425756489699,22,0.0,complete,1788471941656,1788472602676,1686185.30980014,1374161.05261946,0.10195717093080421,255.0,266.0,4.313725490196085,1.17647058823529,3.007518796992481,72.72727272727286,complete_hourly_ordered,/v1/candles/minutes/60,120,False,61.261261261261254,222.0,2026-08-30T07:00:00,358.0,2026-09-01T11:00:00,D-3,27.93296089385475,73.52941176470588,False,1.3865308432371215,39.437988590745825,,True,0.5286035102751704,600.8140986512527,27.927613059740743,1.21242296624132,-0.38610038610038533,0.0,0.0848896434634927,-0.04687205962289198,,-11.186371787783667,-20.75934479591095,1350.0372330986224,1.5937358369101275,-1.1494252873563204,0.0,-0.0848896434634927,0.04686611805235685,,-11.186371787783667,-20.75934479591095,1350.0372330986224,1.5937358369101275,-1.1494252873563204,0.0,-0.0848896434634927,0.04686611805235685,,-11.186371787783667,-20.75934479591095,1350.0372330986224,1.5937358369101275,-1.1494252873563204,0.0,-0.0848896434634927,0.04686611805235685,,-1.0436658208709595,-40.59973268668692,55.270893653198236,2.927539034650181,-1.9011406844106515,2.0,-0.1697792869270076,0.09372629566386337,,-1.0436658208709595,-40.59973268668692,55.270893653198236,2.927539034650181,-1.9011406844106515,2.0,-0.1697792869270076,0.09372629566386337,,0.5286035102751704,7552466.707961699,2974108.1756014116,1.21242296624132,-0.38610038610038533,0.0,0.0848896434634927,-0.04687205962289198,22432959.857663892,19673608.368244644,1.1402565018968835,-1.9011406844106515,False,True,rising,rising,sell_advantage_weakening,accelerating,leading_buy_inflow,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 6개 개선,S3,True,가격 미급등 상태에서 선행조건 6개 개선,2026-09-04T06:58:14.627217+09:00,2026-09-03T21:40:00Z,33809875303-1
KRW-1INCH,2026-09-04T06:58:14.627217+09:00,1788472694,126.0,182.2102291909903,9.0,11034019.161024302,6605980.8389757,1.6703074728771388,10,0.0,complete,1788472479251,1788472663987,1594767.00380052,1183489.70504825,0.14803430418879165,120.0,126.0,5.000000000000004,5.000000000000004,0.0,0.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.882352941176472,119.0,2026-09-02T19:00:00,126.0,2026-09-04T03:00:00,D0,0.0,0.0,False,0.37776578521317994,-3.9396479463537326,,True,-6.057600781140144,-10.197356417598257,315.48433557422123,9.357976606736997,0.0,0.0,0.0,0.0,,-24.046611294403775,784.1809613569492,13513.307925651332,14.857283081917814,1.6129032258064502,0.0,0.10793308148948633,-0.09725588263989016,,-24.046611294403775,784.1809613569492,13513.307925651332,14.857283081917814,1.6129032258064502,0.0,0.10793308148948633,-0.09725588263989016,,-24.046611294403775,784.1809613569492,13513.307925651332,14.857283081917814,1.6129032258064502,0.0,0.10793308148948633,-0.09725588263989016,,-7.2154859807981095,-48.702222879798626,172.89673280190473,20.992159616438443,0.8000000000000007,0.0,0.05396654074474316,-0.0486245443278861,,-7.2154859807981095,-48.702222879798626,172.89673280190473,20.992159616438443,0.8000000000000007,0.0,0.05396654074474316,-0.0486245443278861,,-6.057600781140144,-1252945.588403847,5016033.81249012,9.357976606736997,0.0,0.0,0.0,0.0,17640000.0,1296462.65563837,13.606253850261638,0.8000000000000007,False,False,falling,rising,buy_advantage_weakening,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T21:40:00Z,33809875303-1
KRW-2Z,2026-09-04T06:58:14.627217+09:00,1788472694,74.2,27.41106829311559,6.0,0.0,0.0,,0,0.0,complete,,,811247.01605616,1140930.81438985,-0.16888000324149152,73.9,75.3,1.8944519621109546,0.4059539918809252,1.4608233731739633,78.57142857142824,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.841446453407495,71.9,2026-08-31T08:00:00,76.1,2026-09-02T01:00:00,D-2,2.4967148488830415,45.23809523809506,True,0.3135615364515454,25.745877726019895,,False,,,,0.1535519966570078,0.2702702702702675,0.0,0.017420085358432758,-0.01169803155586635,,,-100.0,-100.0,0.17135545866493374,0.0,0.0,0.0,0.0,,,-100.0,-100.0,0.17135545866493374,0.0,0.0,0.0,0.0,,,-100.0,-100.0,0.17135545866493374,0.0,0.0,0.0,0.0,,,-100.0,-100.0,0.5855064377808112,-0.5361930294906059,0.0,-0.034840170716821106,0.023394931828757848,,,-100.0,-100.0,0.5855064377808112,-0.5361930294906059,0.0,-0.034840170716821106,0.023394931828757848,,,0.0,0.0,0.1535519966570078,0.2702702702702675,0.0,0.017420085358432758,-0.01169803155586635,0,704168.0222838584,0.0,-0.5361930294906059,False,False,flat_or_na,flat_or_na,unavailable,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T21:40:00Z,33809875303-1
KRW-A,2026-09-04T06:58:14.627217+09:00,1788472694,109.0,-36.12565061618188,13.0,135388.03098441998,1057082.0827262402,0.1280771221050791,9,0.0,complete,1788471815886,1788472589239,1095957.94614427,3702216.58533017,-0.5431771233184003,105.0,110.0,4.761904761904767,3.809523809523818,0.9090909090909091,19.999999999999908,complete_hourly_ordered,/v1/candles/minutes/60,120,False,8.910891089108919,101.0,2026-08-31T08:00:00,110.0,2026-09-04T03:00:00,D0,0.9090909090909038,11.11111111111111,False,1.0474589421958003,0.5061276460289681,0.3719392221618175,True,-0.2553601510430901,-82.18201079644241,-46.65650601057105,0.27605937857862983,0.92592592592593,0.0,0.0,0.0,0.0,-4.131182137151625,-88.22712774047817,291.5118824912001,0.47831834549683094,0.0,0.0,0.0,0.0,0.0,-4.131182137151625,-88.22712774047817,291.5118824912001,0.47831834549683094,0.0,0.0,0.0,0.0,0.0,-4.131182137151625,-88.22712774047817,291.5118824912001,0.47831834549683094,0.0,0.0,0.0,0.0,0.0,,,,0.5097644943734707,0.0,0.0,-0.06465795939478713,0.05574171462131561,0.04365257010285084,,,,0.5097644943734707,0.0,0.0,-0.06465795939478713,0.05574171462131561,0.04365257010285084,-0.2553601510430901,-624450.96901558,-924569.2934204398,0.27605937857862983,0.92592592592593,0.0,0.0,0.0,1192470.11371066,1145151.2475756248,1.0413210623795004,0.0,False,False,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T21:40:00Z,33809875303-1
KRW-AAVE,2026-09-04T06:58:14.627217+09:00,1788472694,184100.0,-4.064997971535201,7.0,6715633.345321,7133.761394,941.3874356618269,22,0.0,complete,1788472098413,1788472781202,754.25399396,907.57645626,-0.09226119444357427,174900.0,184700.0,5.603201829616933,5.260148656375074,0.32485110990795885,6.122448979591934,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.945865556216528,168100.0,2026-08-31T11:00:00,186500.0,2026-09-02T14:00:00,D-2,1.286863270777483,13.043478260869449,True,2.0796616143813784,-30.64088667790259,,True,936.3696514280078,-9.660293352676286,-99.51847120693289,0.07676229076739549,0.0,0.0,0.01566600086162495,-0.016775602296235093,,929.9465308083631,-87.02921800253176,-99.84236300901581,0.4399872052420317,0.16322089227420733,0.0,0.023499001292437427,-0.025163718773267618,,929.9465308083631,-87.02921800253176,-99.84236300901581,0.4399872052420317,0.16322089227420733,0.0,0.023499001292437427,-0.025163718773267618,,929.9465308083631,-87.02921800253176,-99.84236300901581,0.4399872052420317,0.16322089227420733,0.0,0.023499001292437427,-0.025163718773267618,,921.3993664760212,-72.94482538767954,-99.42554926749693,1.3892604653105263,0.5461496450027248,0.0,0.054831003015709534,-0.05871828705837956,,921.3993664760212,-72.94482538767954,-99.42554926749693,1.3892604653105263,0.5461496450027248,0.0,0.054831003015709534,-0.05871828705837956,,936.3696514280078,-718122.6348019978,-1474348.0309120002,0.07676229076739549,0.0,0.0,0.01566600086162495,-0.016775602296235093,6722767.106714999,21073459.659200996,0.3190158244272784,0.5461496450027248,False,False,falling,falling,buy_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T21:40:00Z,33809875303-1
KRW-ADA,2026-09-04T06:58:14.627217+09:00,1788472694,305.0,-18.071356946163885,9.0,48327866.16031715,90852299.2781497,0.5319388341769814,181,0.0,complete,1788471804930,1788473108907,4694050.38842082,6258124.42564835,-0.14280944778367852,277.0,307.0,10.83032490974729,10.108303249097483,0.6514657980456027,6.66666666666655,complete_hourly_ordered,/v1/candles/minutes/60,120,False,16.287878787878785,264.0,2026-09-02T19:00:00,307.0,2026-09-04T01:00:00,D0,0.6514657980456029,4.6511627906976765,False,1.1382113821138073,-2.594916202762796,,True,-0.6892225783731459,-59.28847170975813,-6.539353399707915,0.32294251208265834,-0.32679738562091387,0.0,0.0,0.0,,-0.9081299346214556,14.214658535235646,209.20277319111392,0.8497348592744878,0.328947368421062,0.0,0.02322880371659064,-0.020542123234088105,,-0.9081299346214556,14.214658535235646,209.20277319111392,0.8497348592744878,0.328947368421062,0.0,0.02322880371659064,-0.020542123234088105,,-0.9081299346214556,14.214658535235646,209.20277319111392,0.8497348592744878,0.328947368421062,0.0,0.02322880371659064,-0.020542123234088105,,-0.3843013174026616,-62.70082360266489,-35.75388589749061,1.5896465546356708,0.328947368421062,0.0,0.046457607433203485,-0.04108545664362939,,-0.3843013174026616,-62.70082360266489,-35.75388589749061,1.5896465546356708,0.328947368421062,0.0,0.046457607433203485,-0.04108545664362939,,-0.6892225783731459,-70380195.63430932,-6356849.794724107,0.32294251208265834,-0.32679738562091387,0.0,0.0,0.0,139180165.43846685,147886812.12601572,0.9411262805494119,0.328947368421062,False,False,falling,falling,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T21:40:00Z,33809875303-1
KRW-AERO,2026-09-04T06:58:14.627217+09:00,1788472694,702.0,19.22799110831932,8.0,8638208.11642599,5040046.1771180695,1.7139144787291158,26,0.0,complete,1788471860876,1788472804452,94562.00196101,121124.00115079,-0.1231512421138042,638.0,705.0,10.501567398119116,10.031347962382453,0.425531914893617,4.477611940298375,complete_hourly_ordered,/v1/candles/minutes/60,120,False,12.98076923076923,624.0,2026-09-02T20:00:00,705.0,2026-09-04T05:00:00,D0,0.5673758865248235,4.9382716049382545,False,0.9591614753287736,-3.4225154158805693,,True,0.6186268060446813,-60.34590293611768,-74.65880344408546,0.685914209602533,0.28571428571428914,0.0,0.019776525264503242,-0.017640455450057768,,1.27074928895503,44.66366311393786,-62.59445817574236,2.676872648726178,0.14265335235377208,0.0,0.009888262632240519,-0.008820116042639103,,1.27074928895503,44.66366311393786,-62.59445817574236,2.676872648726178,0.14265335235377208,0.0,0.009888262632240519,-0.008820116042639103,,1.27074928895503,44.66366311393786,-62.59445817574236,2.676872648726178,0.14265335235377208,0.0,0.009888262632240519,-0.008820116042639103,,,132.31787719559387,,3.756022343868935,0.8620689655172376,0.0,0.05932957579353193,-0.052924046897025345,,,132.31787719559387,,3.756022343868935,0.8620689655172376,0.0,0.05932957579353193,-0.052924046897025345,,0.6186268060446813,-13145690.032887386,-14848699.668001633,0.685914209602533,0.28571428571428914,0.0,0.019776525264503242,-0.017640455450057768,13678254.293544058,5283648.459100325,2.5887896213051858,0.8620689655172376,False,False,falling,falling,buy_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T21:40:00Z,33809875303-1
KRW-AGLD,2026-09-04T06:58:14.627217+09:00,1788472694,227.0,-24.078934969916908,8.0,0.0,75134.33297628,0.0,4,0.0,complete,1788472864755,1788472864755,372234.54751882,716848.53771775,-0.3164258033849393,221.0,229.0,3.619909502262453,2.714932126696823,0.8733624454148471,25.000000000000462,complete_hourly_ordered,/v1/candles/minutes/60,120,False,5.882352941176472,221.0,2026-08-31T08:00:00,234.0,2026-08-31T12:00:00,D-4,3.4188034188034178,61.53846153846169,False,0.20248770610356015,13.133972791674509,,False,,-100.0,,0.0010412847220706567,-0.43859649122807154,0.0,-0.028926815157648278,0.02235319477139086,,,,,0.6306920244413163,0.4424778761061843,0.0,0.028926815157648278,-0.022354596181658692,,,,,0.6306920244413163,0.4424778761061843,0.0,0.028926815157648278,-0.022354596181658692,,,,,0.6306920244413163,0.4424778761061843,0.0,0.028926815157648278,-0.022354596181658692,,-1.094202372491699,-100.0,-91.9379308002234,0.8119026421945534,-0.43859649122807154,0.0,0.0,0.0,,-1.094202372491699,-100.0,-91.9379308002234,0.8119026421945534,-0.43859649122807154,0.0,0.0,0.0,,,-381444.0,75134.33297628,0.0010412847220706567,-0.43859649122807154,0.0,-0.028926815157648278,0.02235319477139086,75134.33297628,453963.27705046,0.16550751299631775,-0.43859649122807154,False,False,falling,rising,sell_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T21:40:00Z,33809875303-1
KRW-AHT,2026-09-04T06:58:14.627217+09:00,1788472694,1.34,1224.7287491515015,8.0,86470.2648675642,0.0,,2,0.0,complete,1788472297568,1788472544899,261591250.9087157,187785931.80834687,0.1642391334916491,1.35,1.4,3.703703703703698,-0.7407407407407418,4.285714285714274,120.00000000000004,complete_hourly_ordered,/v1/candles/minutes/60,120,False,37.00787401574803,1.27,2026-08-30T08:00:00,1.74,2026-09-01T18:00:00,D-3,22.988505747126432,85.10638297872337,False,0.829445308449972,19.756588107885104,,False,,,-100.0,0.06794460268156399,0.7518796992481258,0.0,0.051840331778119086,-0.03711998907209235,,,-82.87720918026534,-100.0,0.5963514721333922,0.0,0.0,0.0,0.0,,,-82.87720918026534,-100.0,0.5963514721333922,0.0,0.0,0.0,0.0,,,-82.87720918026534,-100.0,0.5963514721333922,0.0,0.0,0.0,0.0,,,114.80127083671744,,3.1106311935420763,0.7518796992481258,0.0,0.051840331778119086,-0.03711998907209235,,,114.80127083671744,,3.1106311935420763,0.7518796992481258,0.0,0.051840331778119086,-0.03711998907209235,,,86470.2648675642,-1825636.433461123,0.06794460268156399,0.7518796992481258,0.0,0.051840331778119086,-0.03711998907209235,86470.2648675642,1047986.1025105702,0.08251088889481914,0.7518796992481258,False,True,rising,falling,buy_only,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-03T21:40:00Z,33809875303-1
KRW-AI,2026-09-04T06:58:14.627217+09:00,1788472694,26.7,,,801000.0,0.0,,1,0.0,complete,1788472019614,1788472019614,7845925.64104815,5618016.00409317,0.16547231826119485,26.2,26.9,2.6717557251908275,1.9083969465648831,0.743494423791819,28.571428571428335,complete_hourly_ordered,/v1/candles/minutes/60,120,False,4.150943396226414,26.5,2026-08-31T08:00:00,27.6,2026-08-31T14:00:00,D-4,3.2608695652173947,81.81818181818183,False,,,,True,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,54.043645699614906,,,0.0,,,,,,54.043645699614906,,,0.0,,,,,,801000.0,0.0,,0.0,,,,801000.0,1500070.037841091,0.5339750676927083,0.0,False,False,rising,flat_or_na,buy_only,flat_or_na,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-03T21:40:00Z,33809875303-1
