market,name,price,ma15,ma50,ma120,slope15,gap50,gap120,conv50,conv120,f50up,f50down,f120up,f120down,golden_now,dead_now,up120_now,down120_now,value_accel_pct,ret5_pct,launch_score,launch_grade,delta_price_pct,delta_value_accel_pct,delta_launch_score,delta_slope15,delta_gap120,flag_score14,flag_value300,flag_ankr_like,flag_early_ignition,snapshot_kst,snapshot_epoch,bid_trade_value_15m,ask_trade_value_15m,buy_sell_ratio_15m,trade_count_15m,trade_unknown_value_15m,trade_coverage_15m,trade_oldest_timestamp,trade_newest_timestamp,total_bid_size,total_ask_size,orderbook_imbalance,day_open,day_high,day_high_return_pct,current_day_return_pct,drawdown_from_day_high_pct,gain_retrace_pct,path_5d_status,path_5d_source,path_5d_points,stage_provisional,max_rally_5d_pct,max_rally_5d_base_price,max_rally_5d_base_time_kst,high_5d,high_5d_time_kst,max_rally_day,drawdown_from_5d_high_pct,gain_retrace_5d_pct,post_surge_higher_low,higher_low,buy_sell_ratio_change_15m,bid_trade_value_change_15m,ask_trade_value_change_15m,value_accel_change_15m,price_change_15m,launch_score_change_15m,slope15_change_15m,gap120_change_15m,f120up_change_15m,buy_sell_ratio_change_30m,bid_trade_value_change_30m,ask_trade_value_change_30m,value_accel_change_30m,price_change_30m,launch_score_change_30m,slope15_change_30m,gap120_change_30m,f120up_change_30m,buy_sell_ratio_change_45m,bid_trade_value_change_45m,ask_trade_value_change_45m,value_accel_change_45m,price_change_45m,launch_score_change_45m,slope15_change_45m,gap120_change_45m,f120up_change_45m,buy_sell_ratio_change_60m,bid_trade_value_change_60m,ask_trade_value_change_60m,value_accel_change_60m,price_change_60m,launch_score_change_60m,slope15_change_60m,gap120_change_60m,f120up_change_60m,buy_sell_ratio_change_90m,bid_trade_value_change_90m,ask_trade_value_change_90m,value_accel_change_90m,price_change_90m,launch_score_change_90m,slope15_change_90m,gap120_change_90m,f120up_change_90m,buy_sell_ratio_change_120m,bid_trade_value_change_120m,ask_trade_value_change_120m,value_accel_change_120m,price_change_120m,launch_score_change_120m,slope15_change_120m,gap120_change_120m,f120up_change_120m,delta_buy_sell_ratio,delta_bid_trade_value_15m,delta_ask_trade_value_15m,delta_price_pct_15m,trade_value_15m,normal_trade_value_15m_median,trade_value_anomaly_ratio,surge_return_from_120m,surge_success_15_120m,signal_failure_120m,buy_pressure_trend,sell_pressure_trend,buy_sell_state,value_accel_direction,flow_signal,first_surge_retrace_gate,first_surge_retrace_seen,second_ignition_reentry,candidate_gate,stage,stage_label,stage_reason,stage_previous,stage_changed,stage_change_reason,stage_change_kst,scan_cycle,scan_run_id
KRW-WAXP,왁스,5.97,5.879333333333333,5.6,6.771833333333333,0.6160867084997079,-4.988095238095244,13.179591937190816,-0.9132704713866655,-1.2069036754820006,,,10.920168862628815,,False,False,False,False,38.770631859844265,1.0169491525423568,12.0,A급,0.5059021922428464,0.18756255788403564,0.0,0.0684540787222021,-0.05266168100353141,False,False,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,161077.199999959,5731990.015871761,0.028101444621141974,38,0.0,complete,1788533183796,1788533916649,13281365.14828857,15149640.74009261,-0.06571260964662322,6.02,6.12,1.661129568106312,-0.830564784053156,2.4509803921568687,150.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,14.436619718309874,5.68,2026-09-02T10:00:00,6.5,2026-09-03T10:00:00,D-2,8.153846153846157,64.63414634146346,False,True,-0.04669255537880171,330.722250448134,1046.3980031744118,0.18756255788403564,0.6745362563237878,0.0,0.0684540787222021,-0.05266168100353141,-0.1401542859877889,-0.04669255537880171,330.722250448134,1046.3980031744118,0.18756255788403564,0.6745362563237878,0.0,0.0684540787222021,-0.05266168100353141,-0.1401542859877889,-0.04669255537880171,330.722250448134,1046.3980031744118,0.18756255788403564,0.6745362563237878,0.0,0.0684540787222021,-0.05266168100353141,-0.1401542859877889,-0.04669255537880171,330.722250448134,1046.3980031744118,0.18756255788403564,0.6745362563237878,0.0,0.0684540787222021,-0.05266168100353141,-0.1401542859877889,-0.04669255537880171,330.722250448134,1046.3980031744118,0.18756255788403564,0.6745362563237878,0.0,0.0684540787222021,-0.05266168100353141,-0.1401542859877889,-1.5526010527817677,-23.235725153444076,4217.980182057391,1.4827030378398618,-0.830564784053156,0.0,-0.0684540787222021,0.05265390500103173,0.1377091069551959,-0.04669255537880171,123680.1999999891,5231990.015871787,0.6745362563237878,5893067.215871721,4710102.701924077,1.2511547175955213,-0.830564784053156,False,True,rising,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 5개 개선,S1,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-CARV,카브,46.4,46.34,43.623999999999995,56.865,0.20181634712412855,-6.225930680359455,18.508748790996215,-0.8958225364106245,-1.0993427522728083,,,,,False,False,False,False,264.2447475669423,0.2159827213823018,9.0,B급,0.43290043290042934,0.5439592034236966,0.0,0.028830906732024708,-0.021059521331590503,False,False,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,1979882.3806236,22918.5,86.3879564816022,7,0.0,complete,1788533406543,1788534045862,797624.52298141,1623381.61017687,-0.3410801302342152,47.9,48.1,0.41753653444676075,-3.131524008350728,3.53430353430354,850.0000000000053,complete_hourly_ordered,/v1/candles/minutes/60,120,False,19.480519480519476,46.2,2026-08-31T08:00:00,55.2,2026-09-02T13:00:00,D-3,15.94202898550725,97.7777777777778,False,True,,-32.649745000348084,,0.5439592034236966,0.43290043290042934,0.0,0.028830906732024708,-0.021059521331590503,,,-32.649745000348084,,0.5439592034236966,0.43290043290042934,0.0,0.028830906732024708,-0.021059521331590503,,,-32.649745000348084,,0.5439592034236966,0.43290043290042934,0.0,0.028830906732024708,-0.021059521331590503,,,-32.649745000348084,,0.5439592034236966,0.43290043290042934,0.0,0.028830906732024708,-0.021059521331590503,,,-32.649745000348084,,0.5439592034236966,0.43290043290042934,0.0,0.028830906732024708,-0.021059521331590503,,,,,4.647787633333621,-1.9027484143763207,0.0,-0.12973908029405568,0.09475257138216975,,,-959798.219893551,22918.5,0.43290043290042934,2002800.8806236,2230814.081887977,0.8977892406563053,-1.9027484143763207,False,False,falling,rising,buy_advantage_weakening,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-LSK,리스크,136.0,134.2,118.74,137.85,1.104972375690605,-13.020043793161525,2.6478055857816507,-1.2404560299429612,-1.5377643733829593,,,1.7218539014248906,,False,False,False,False,-93.16817850301398,-4.225352112676061,12.0,A급,-1.449275362318836,0.07673356283667943,-1.0,-0.10045203415371962,0.08494291653600428,False,False,False,True,2026-09-05T00:00:53.630112+09:00,1788534053,4999.99999932,5965885.04086144,0.0008380986165630219,2,0.0,complete,1788533345618,1788533723039,917691.02632489,3339213.12749447,-0.5688458122781442,141.0,141.0,0.0,-3.546099290780147,3.546099290780142,,complete_hourly_ordered,/v1/candles/minutes/60,120,False,7.575757575757569,132.0,2026-09-03T08:00:00,142.0,2026-09-04T01:00:00,D-1,4.225352112676061,60.0,False,True,-2.420832273714836,-98.40736615482926,4501.885888606738,0.07673356283667943,-1.449275362318836,-1.0,-0.10045203415371962,0.08494291653600428,0.07344882316628198,-2.420832273714836,-98.40736615482926,4501.885888606738,0.07673356283667943,-1.449275362318836,-1.0,-0.10045203415371962,0.08494291653600428,0.07344882316628198,-2.420832273714836,-98.40736615482926,4501.885888606738,0.07673356283667943,-1.449275362318836,-1.0,-0.10045203415371962,0.08494291653600428,0.07344882316628198,-2.420832273714836,-98.40736615482926,4501.885888606738,0.07673356283667943,-1.449275362318836,-1.0,-0.10045203415371962,0.08494291653600428,0.07344882316628198,-2.420832273714836,-98.40736615482926,4501.885888606738,0.07673356283667943,-1.449275362318836,-1.0,-0.10045203415371962,0.08494291653600428,0.07344882316628198,-0.07985472554678626,-96.26885187267906,259.2380106770862,0.2709079926764133,-1.449275362318836,-1.0,-0.15067805123054612,0.12740667372363124,0.10956806628466498,-2.420832273714836,-308945.35627206997,5836245.03706144,-1.449275362318836,5970885.04086076,1474264.2501938497,4.050077888055451,-1.449275362318836,False,True,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S1,True,발사 구조 관찰 또는 초기 준비,2026-09-05T00:00:53.630112+09:00,2026-09-04T14:40:00Z,33886045542-1
KRW-0G,제로지,261.0,241.46666666666667,232.28,389.78333333333336,0.975745748536383,-3.9549968428907643,38.051054004361404,-1.6084804661894254,-1.5704223669535609,,,,,False,False,False,False,2494.749155755703,13.157894736842103,9.0,B급,0.3891050583657574,2.577677115867573,-1.0,0.08363534987454457,-0.04734029980142651,False,True,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,9919148.68328083,12913332.940359998,0.7681323426796354,46,0.0,complete,1788533238256,1788534057379,1110838.33029601,1398418.50764148,-0.11460770894295923,262.0,264.0,0.7633587786259444,-0.3816793893129722,1.1363636363636365,150.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,59.111111111111114,225.0,2026-08-31T08:00:00,358.0,2026-09-01T11:00:00,D-4,27.37430167597765,73.68421052631581,False,True,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,-12.436685202605684,-67.24123593068929,463.14970547296656,2.577677115867573,1.5564202334630295,-1.0,0.08363534987454457,-0.04734029980142651,,0.15824003632642247,778.9737705965864,597.8997112698252,9.62296527773151,1.1627906976744207,0.0,0.027878449958174123,-0.015779425181271733,,-12.436685202605684,-20360225.295218416,10620277.858405437,1.5564202334630295,22832481.623640828,22095341.52401458,1.0333617879961292,1.1627906976744207,False,True,falling,rising,sell_advantage_accelerating,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S4,True,당일/5D 급등 후 상승분 상당 부분 반납,2026-09-05T00:00:53.630112+09:00,2026-09-04T14:40:00Z,33886045542-1
KRW-BORA,보라,31.0,30.326666666666664,30.041999999999998,37.45333333333333,0.6861443116423116,-0.9475623016665549,19.028123887504456,-1.2306797550749484,-1.1265922618615203,,,,,True,False,False,False,-68.82410841226097,3.678929765886285,8.0,B급,-1.273885350318471,0.28768687672418025,0.0,-0.11066843736167176,0.07998266078084271,False,False,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,0.0,359958.918880318,0.0,3,0.0,complete,1788533181939,1788533853549,2694266.02835403,3862312.30076632,-0.1781487559180885,31.2,32.1,2.8846153846153966,-0.6410256410256387,3.4267912772585714,122.22222222222206,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.309278350515472,29.1,2026-08-31T09:00:00,32.1,2026-09-04T19:00:00,D-1,3.4267912772585674,36.66666666666673,False,True,-11.591379985606057,-100.0,-78.59254034325826,0.28768687672418025,-1.273885350318471,0.0,-0.11066843736167176,0.07998266078084271,,-11.591379985606057,-100.0,-78.59254034325826,0.28768687672418025,-1.273885350318471,0.0,-0.11066843736167176,0.07998266078084271,,-11.591379985606057,-100.0,-78.59254034325826,0.28768687672418025,-1.273885350318471,0.0,-0.11066843736167176,0.07998266078084271,,-11.591379985606057,-100.0,-78.59254034325826,0.28768687672418025,-1.273885350318471,0.0,-0.11066843736167176,0.07998266078084271,,-11.591379985606057,-100.0,-78.59254034325826,0.28768687672418025,-1.273885350318471,0.0,-0.11066843736167176,0.07998266078084271,,-11.75235269306662,-100.0,99.25304350357365,1.8547395909256323,-2.515723270440251,0.0,-0.17706949977867037,0.12796371665554673,,-11.591379985606057,-19490498.521788474,-1321505.975376568,-1.273885350318471,359958.918880318,2584227.0667839046,0.13929074712784056,-2.515723270440251,False,False,falling,falling,sell_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-PUNDIX,펀디엑스,128.0,124.4,114.98,145.10833333333332,0.7559395248380119,-8.192729170290486,14.270946993625442,-1.0155492966389055,-1.3435381724008104,,,10.621914052597583,,False,False,False,False,171.0269859142203,2.4193548387096753,13.0,A급,0.0,3.017386611644781,0.0,-0.053995680345564345,0.04101705219900076,False,False,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,6000.0,22003100.61458325,0.00027268884077289135,9,0.0,complete,1788533585953,1788534011069,1506167.32539714,3286311.87662146,-0.37144544111417743,128.0,138.0,7.8125,0.0,7.246376811594203,100.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,19.999999999999996,120.0,2026-09-02T03:00:00,144.0,2026-09-03T19:00:00,D-2,11.111111111111116,66.66666666666667,True,False,-13.112918028440337,-99.93952267582422,2808.262339375875,3.017386611644781,0.7874015748031482,0.0,-0.053995680345564345,0.04101705219900076,0.09480582269240756,-13.112918028440337,-99.93952267582422,2808.262339375875,3.017386611644781,0.7874015748031482,0.0,-0.053995680345564345,0.04101705219900076,0.09480582269240756,-13.112918028440337,-99.93952267582422,2808.262339375875,3.017386611644781,0.7874015748031482,0.0,-0.053995680345564345,0.04101705219900076,0.09480582269240756,-13.112918028440337,-99.93952267582422,2808.262339375875,3.017386611644781,0.7874015748031482,0.0,-0.053995680345564345,0.04101705219900076,0.09480582269240756,-13.112918028440337,-99.93952267582422,2808.262339375875,3.017386611644781,0.7874015748031482,0.0,-0.053995680345564345,0.04101705219900076,0.09480582269240756,0.00027268884077289135,,209.01760884930036,8.667847775890436,-0.7751937984496138,0.0,-0.1079913606911509,0.08202939385512664,0.18845718535071576,-13.112918028440337,-9915073.859948799,21246528.54346448,0.7874015748031482,22009100.61458325,16945676.54565188,1.2988032997850774,-0.7751937984496138,False,False,falling,rising,sell_advantage_accelerating,accelerating,neutral,True,True,False,🔴 1차 급등 완료·상승분 반납 / 신규매수 금지,S3,🔴 1차 급등 완료·반납,당일/5D 급등 후 상승분 상당 부분 반납,S3,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-USD1,월드리버티파이낸셜유에스디,1365.0,1380.2666666666667,1416.28,1463.0,-0.06275039822368766,2.5428116850716895,5.655046707678288,-0.04587566250658082,0.032282693688100925,,,,,False,False,False,False,-25.954840436851423,-1.93965517241379,5.0,관찰,-0.07320644216690653,0.10537594975733455,0.0,-0.0048269537095024795,0.004019429410323738,False,False,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,0.0,0.0,,0,0.0,complete,,,32868.08910639,26497.33188257,0.10731427685832037,1366.0,1371.0,0.36603221083455484,-0.07320644216690653,0.437636761487965,119.99999999999879,complete_hourly_ordered,/v1/candles/minutes/60,120,False,0.9454545454545382,1375.0,2026-09-01T04:00:00,1388.0,2026-09-02T07:00:00,D-3,1.6570605187319898,176.923076923078,True,True,,-100.0,-100.0,0.10537594975733455,-0.07320644216690653,0.0,-0.0048269537095024795,0.004019429410323738,,,-100.0,-100.0,0.10537594975733455,-0.07320644216690653,0.0,-0.0048269537095024795,0.004019429410323738,,,-100.0,-100.0,0.10537594975733455,-0.07320644216690653,0.0,-0.0048269537095024795,0.004019429410323738,,,-100.0,-100.0,0.10537594975733455,-0.07320644216690653,0.0,-0.0048269537095024795,0.004019429410323738,,,-100.0,-100.0,0.10537594975733455,-0.07320644216690653,0.0,-0.0048269537095024795,0.004019429410323738,,,,,4.573602455063796,-0.1463057790782707,0.0,-0.009653907419038266,0.008038813031389758,,,-266490.66234526,-320925.92201700003,-0.07320644216690653,0,40003.657599915,0.0,-0.1463057790782707,False,False,falling,falling,unavailable,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-BAT,베이직어텐션토큰,95.2,95.40666666666667,96.86399999999999,122.28500000000001,0.273262331838553,1.5045149212641682,21.980073871148008,-1.1410437693846398,-0.8420588194974847,1.318542690150744,,,,False,False,False,False,-3.831695851120187,2.37068965517242,5.0,관찰,-0.6276150627614996,0.5502995313162455,0.0,-0.0630605381165994,0.044277862943634005,False,False,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,0.0,391524.038740898,0.0,4,0.0,complete,1788533334244,1788533781274,680735.87701542,270896.33101383,0.43067010820318197,97.2,98.0,0.8230452674897082,-2.0576131687242816,2.857142857142854,350.0000000000013,complete_hourly_ordered,/v1/candles/minutes/60,120,False,8.306010928961749,91.5,2026-08-31T08:00:00,99.1,2026-09-04T04:00:00,D-1,3.9354187689202735,51.315789473684106,False,False,-2.519267272760571,-100.0,-96.72801775431846,0.5502995313162455,-0.4184100418409997,0.0,-0.0630605381165994,0.044277862943634005,,-2.519267272760571,-100.0,-96.72801775431846,0.5502995313162455,-0.4184100418409997,0.0,-0.0630605381165994,0.044277862943634005,,-2.519267272760571,-100.0,-96.72801775431846,0.5502995313162455,-0.4184100418409997,0.0,-0.0630605381165994,0.044277862943634005,,-2.519267272760571,-100.0,-96.72801775431846,0.5502995313162455,-0.4184100418409997,0.0,-0.0630605381165994,0.044277862943634005,,-2.519267272760571,-100.0,-96.72801775431846,0.5502995313162455,-0.4184100418409997,0.0,-0.0630605381165994,0.044277862943634005,,-0.038147992252024296,-100.0,-64.08303114351801,10.348132224942796,-2.0576131687242816,-1.0,-0.16115470852018365,0.11314374475548306,,-2.519267272760571,-30145447.720592067,-11574434.494733475,-0.4184100418409997,391524.038740898,1609999.999998705,0.24318263275851734,-2.0576131687242816,False,False,falling,falling,sell_only,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-HUNT,헌트,122.0,119.66666666666667,115.12,125.80833333333334,0.6730229949523325,-3.949501968959926,4.88176458899119,-0.8395361819336212,-0.9698485359853606,,,5.033532977426567,,False,False,False,False,160.2416043536304,4.31034482758621,14.0,A급,-0.8196721311475419,4.135087399925851,0.0,-0.056085249579362895,0.04668709528341797,True,False,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,1820142.14876026,0.0,,4,0.0,complete,1788533496247,1788534011109,1736737.55130822,3185545.20753432,-0.29433653595446496,124.0,125.0,0.8064516129032251,-1.6129032258064502,2.4,300.0,complete_hourly_ordered,/v1/candles/minutes/60,120,False,12.280701754385959,114.0,2026-08-31T18:00:00,128.0,2026-09-03T13:00:00,D-2,4.6875,42.85714285714283,False,True,,248.68623539551416,,4.135087399925851,0.0,0.0,-0.056085249579362895,0.04668709528341797,0.09567876412735554,,248.68623539551416,,4.135087399925851,0.0,0.0,-0.056085249579362895,0.04668709528341797,0.09567876412735554,,248.68623539551416,,4.135087399925851,0.0,0.0,-0.056085249579362895,0.04668709528341797,0.09567876412735554,,248.68623539551416,,4.135087399925851,0.0,0.0,-0.056085249579362895,0.04668709528341797,0.09567876412735554,,248.68623539551416,,4.135087399925851,0.0,0.0,-0.056085249579362895,0.04668709528341797,0.09567876412735554,,,-100.0,12.962101702318932,-0.8130081300813052,0.0,-0.11217049915872579,0.09336800643604892,0.18953768181609565,,1298142.1487615001,0.0,0.0,1820142.14876026,2013494.3999998,0.9039717958790653,-0.8130081300813052,False,True,rising,flat_or_na,buy_only,accelerating,neutral,False,False,False,pass,S1,⚡ 선행 시동,가격 미급등 상태에서 선행조건 3개 개선,S1,False,,,2026-09-04T14:40:00Z,33886045542-1
KRW-PENGU,펏지펭귄,11.2,12.44,9.9108,10.530583333333334,0.7124352331606243,-25.519635145497837,-18.13210727484231,-1.1551367871835563,-2.0730711574367433,,,,,False,False,False,False,-3.2064485107467955,-6.666666666666677,7.0,B급,-2.60869565217392,2.9405554331080386,0.0,-0.10794473229707169,0.10790158682861062,False,False,False,False,2026-09-05T00:00:53.630112+09:00,1788534053,19100435.199093018,92859722.80644184,0.20569127951099145,167,0.0,complete,1788533238931,1788534080562,59527130.84288379,95211359.61512557,-0.23060990621415708,11.9,12.3,3.3613445378151363,-5.882352941176483,8.94308943089432,274.9999999999999,complete_hourly_ordered,/v1/candles/minutes/60,120,False,10.71428571428572,11.2,2026-09-02T19:00:00,12.4,2026-09-04T00:00:00,D-1,9.677419354838722,100.0,False,False,-1.2669845710045915,-64.06351983731658,157.29231989773376,2.9405554331080386,-2.60869565217392,0.0,-0.10794473229707169,0.10790158682861062,,-1.2669845710045915,-64.06351983731658,157.29231989773376,2.9405554331080386,-2.60869565217392,0.0,-0.10794473229707169,0.10790158682861062,,-1.2669845710045915,-64.06351983731658,157.29231989773376,2.9405554331080386,-2.60869565217392,0.0,-0.10794473229707169,0.10790158682861062,,-1.2669845710045915,-64.06351983731658,157.29231989773376,2.9405554331080386,-2.60869565217392,0.0,-0.10794473229707169,0.10790158682861062,,-1.2669845710045915,-64.06351983731658,157.29231989773376,2.9405554331080386,-2.60869565217392,0.0,-0.10794473229707169,0.10790158682861062,,-102.60470373585574,-45.344907209598006,27218.18136744336,10.797914652118578,-8.196721311475407,-2.0,-0.539723661485314,0.5391666543249727,,-1.2669845710045915,-34050110.18717156,56768586.14004197,-2.60869565217392,111960158.00553486,40513403.457971305,2.7635337554812587,-8.196721311475407,False,False,falling,rising,sell_advantage_accelerating,accelerating,neutral,False,False,False,pass,S0,🌱 초발사 준비,발사 구조 관찰 또는 초기 준비,S0,False,,,2026-09-04T14:40:00Z,33886045542-1
